Source,Target,Color
@GENE_PLCG2,@GENE_ERBB2,blue
@GENE_PLCG2,@GENE_PDGFRA,blue
@GENE_PLCG2,@GENE_PTEN,blue
@GENE_PLCG2,@GENE_SYK,blue
@GENE_PLCG2,@GENE_SH3BP2,green
@GENE_PLCG2,@GENE_VAV1,blue
@GENE_PLCG2,@GENE_PTPN11,blue
@GENE_HRAS,@GENE_BRAF,blue
@GENE_HRAS,@GENE_CDKN2A,blue
@GENE_HRAS,@GENE_PDGFRA,blue
@GENE_HRAS,@GENE_KIT,blue
@GENE_HRAS,@GENE_SYK,blue
@GENE_HRAS,@GENE_MAPK8,blue
@GENE_HRAS,@GENE_SOS1,blue
@GENE_ALPP,@GENE_GCH1,blue
@GENE_ALPP,@GENE_SOST,red
@GENE_GCH1,@GENE_PKM,blue
@GENE_AMH,@GENE_NOG,blue
@GENE_NOG,@GENE_BMP2,blue
@GENE_NOG,@GENE_BMP7,blue
@GENE_NOG,@GENE_SOST,red
@GENE_APC,@GENE_LRRK2,blue
@GENE_APC,@GENE_CASP3,blue
@GENE_APC,@GENE_LRP6,blue
@GENE_APC,@GENE_AXIN1,blue
@GENE_APC,@GENE_AXIN2,blue
@GENE_APC,@GENE_F2R,red
@GENE_APC,@GENE_PROCR,red
@GENE_LRRK2,@GENE_LRP6,blue
@GENE_CASP3,@GENE_GZMB,blue
@GENE_CASP3,@GENE_VIM,blue
@GENE_CASP3,@GENE_GSDMD,blue
@GENE_CASP3,@GENE_BAX,red
@GENE_LRP6,@GENE_AXIN1,blue
@GENE_LRP6,@GENE_DKK1,green
@GENE_LRP6,@GENE_WNT3A,blue
@GENE_LRP6,@GENE_WNT1,blue
@GENE_LRP6,@GENE_SOST,blue
@GENE_AXIN1,@GENE_TNKS,blue
@GENE_AXIN1,@GENE_AXIN2,blue
@GENE_AXIN2,@GENE_TNKS,blue
@GENE_APOE,@GENE_SNCA,blue
@GENE_SNCA,@GENE_CRYAB,blue
@GENE_SNCA,@GENE_TH,blue
@GENE_SNCA,@GENE_LGMN,red
@GENE_CRYAB,@GENE_CRYGD,blue
@GENE_LCN2,@GENE_CTLA4,blue
@GENE_PSEN1,@GENE_TRAF6,blue
@GENE_AR,@GENE_CCND1,blue
@GENE_CCND1,@GENE_PRMT5,blue
@GENE_CCND1,@GENE_HDAC4,blue
@GENE_CCND1,@GENE_FOS,blue
@GENE_CCND1,@GENE_STAT3,blue
@GENE_CCND1,@GENE_CDKN2A,blue
@GENE_CCND1,@GENE_CDK4,blue
@GENE_ARL13B,@GENE_INPP5E,green
@GENE_ARL13B,@GENE_SHH,red
@GENE_INPP5E,@GENE_PTEN,blue
@GENE_ASNS,@GENE_ASRGL1,blue
@GENE_CDK4,@GENE_BRCA2,blue
@GENE_CDK4,@GENE_CDKN2A,blue
@GENE_BRCA2,@GENE_BARD1,blue
@GENE_CHEK2,@GENE_PIEZO1,blue
@GENE_TNKS,@GENE_PTEN,blue
@GENE_BAP1,@GENE_BARD1,blue
@GENE_BAX,@GENE_SIRT1,blue
@GENE_BAX,@GENE_HK2,blue
@GENE_SIRT1,@GENE_NAMPT,blue
@GENE_SIRT1,@GENE_NFKB1,green
@GENE_SIRT1,@GENE_PPARG,blue
@GENE_SIRT1,@GENE_PPARGC1A,blue
@GENE_SIRT1,@GENE_RELA,blue
@GENE_SIRT1,@GENE_IL1B,red
@GENE_SIRT1,@GENE_SOST,red
@GENE_SIRT1,@GENE_NFE2L2,red
@GENE_HK2,@GENE_G6PD,blue
@GENE_HK2,@GENE_GAA,blue
@GENE_BCKDHA,@GENE_CTH,blue
@GENE_CTH,@GENE_CDO1,blue
@GENE_CTH,@GENE_GCLM,blue
@GENE_CTH,@GENE_GCLC,blue
@GENE_CTH,@GENE_MTHFR,blue
@GENE_STAT3,@GENE_CD274,green
@GENE_STAT3,@GENE_ERBB2,blue
@GENE_STAT3,@GENE_FOS,blue
@GENE_STAT3,@GENE_HIF1A,blue
@GENE_STAT3,@GENE_KIT,blue
@GENE_STAT3,@GENE_NGF,blue
@GENE_STAT3,@GENE_NR3C1,blue
@GENE_STAT3,@GENE_PDGFRA,blue
@GENE_STAT3,@GENE_POU5F1,blue
@GENE_STAT3,@GENE_PTGS2,blue
@GENE_STAT3,@GENE_PTPN11,blue
@GENE_STAT3,@GENE_RELA,blue
@GENE_STAT3,@GENE_RET,blue
@GENE_STAT3,@GENE_SOCS3,green
@GENE_STAT3,@GENE_STAT1,blue
@GENE_STAT3,@GENE_SYK,blue
@GENE_STAT3,@GENE_IFNG,red
@GENE_BECN1,@GENE_TRAF6,blue
@GENE_BECN1,@GENE_PINK1,blue
@GENE_MAPK8,@GENE_ESR2,blue
@GENE_MAPK8,@GENE_FOS,blue
@GENE_MAPK8,@GENE_IRS1,blue
@GENE_MAPK8,@GENE_NFKB1,blue
@GENE_MAPK8,@GENE_SMAD3,blue
@GENE_MAPK8,@GENE_SMAD4,blue
@GENE_MAPK8,@GENE_RAC1,blue
@GENE_MAPK8,@GENE_NFATC1,blue
@GENE_MAPK8,@GENE_TRAF6,blue
@GENE_MAPK8,@GENE_RELA,blue
@GENE_MAPK8,@GENE_DKK1,red
@GENE_MAPK8,@GENE_IL1B,red
@GENE_MAPK8,@GENE_TNFSF11,red
@GENE_MAPK8,@GENE_NFE2L2,red
@GENE_TRAF6,@GENE_CD40,blue
@GENE_TRAF6,@GENE_MYD88,blue
@GENE_TRAF6,@GENE_PTPN11,blue
@GENE_TRAF6,@GENE_TGFBR1,blue
@GENE_TRAF6,@GENE_TLR3,blue
@GENE_TRAF6,@GENE_TLR4,blue
@GENE_TRAF6,@GENE_TNFRSF11A,blue
@GENE_TRAF6,@GENE_TNFRSF1A,blue
@GENE_TRAF6,@GENE_TNFSF11,red
@GENE_BGLAP,@GENE_DKK1,red
@GENE_BGLAP,@GENE_PTH,red
@GENE_BMP2,@GENE_SOST,red
@GENE_BMP7,@GENE_SOST,red
@GENE_CAMP,@GENE_NFKB1,blue
@GENE_CAMP,@GENE_RELA,blue
@GENE_NFKB1,@GENE_CCL2,blue
@GENE_NFKB1,@GENE_CXCL8,blue
@GENE_NFKB1,@GENE_IL18,blue
@GENE_NFKB1,@GENE_IL1B,green
@GENE_NFKB1,@GENE_IL6,blue
@GENE_NFKB1,@GENE_NFKBIA,green
@GENE_NFKB1,@GENE_PPARG,blue
@GENE_NFKB1,@GENE_NLRP3,green
@GENE_NFKB1,@GENE_TLR4,blue
@GENE_NFKB1,@GENE_RELA,green
@GENE_NFKB1,@GENE_CASP1,red
@GENE_NFKB1,@GENE_PTPN11,red
@GENE_NFKB1,@GENE_TGFB1,red
@GENE_NFKB1,@GENE_IFNG,red
@GENE_NFKB1,@GENE_TNFSF11,red
@GENE_NFKB1,@GENE_MYD88,red
@GENE_RELA,@GENE_CCL2,blue
@GENE_RELA,@GENE_CXCL8,blue
@GENE_RELA,@GENE_IL18,blue
@GENE_RELA,@GENE_IL1B,blue
@GENE_RELA,@GENE_IL6,blue
@GENE_RELA,@GENE_NFKBIA,blue
@GENE_RELA,@GENE_NLRP3,blue
@GENE_RELA,@GENE_NR3C1,blue
@GENE_RELA,@GENE_PPARG,blue
@GENE_RELA,@GENE_TLR4,blue
@GENE_RELA,@GENE_TNFSF11,red
@GENE_CASP1,@GENE_IL1B,green
@GENE_CASP1,@GENE_IL18,blue
@GENE_CASP1,@GENE_NLRP3,blue
@GENE_CASP1,@GENE_GSDMD,green
@GENE_IL1B,@GENE_IL1A,blue
@GENE_IL1B,@GENE_NLRP3,blue
@GENE_IL1B,@GENE_DKK1,red
@GENE_IL1B,@GENE_IL6,red
@GENE_IL1B,@GENE_MMP13,red
@GENE_IL1B,@GENE_MMP3,red
@GENE_IL1B,@GENE_IL10,red
@GENE_IL1B,@GENE_GPX4,red
@GENE_IL1B,@GENE_MMP9,red
@GENE_IL18,@GENE_NLRP3,red
@GENE_NLRP3,@GENE_GSDMD,blue
@GENE_NLRP3,@GENE_HMOX1,blue
@GENE_NLRP3,@GENE_NEK7,green
@GENE_NLRP3,@GENE_NFE2L2,red
@GENE_GZMB,@GENE_CD8A,red
@GENE_VIM,@GENE_GFAP,blue
@GENE_VIM,@GENE_TGFB1,red
@GENE_CAT,@GENE_SOD2,green
@GENE_CAT,@GENE_NFE2L2,red
@GENE_SOD2,@GENE_PPARGC1A,blue
@GENE_SOD2,@GENE_SIRT3,red
@GENE_CBR1,@GENE_CYP2E1,blue
@GENE_CBR1,@GENE_CYP1A1,blue
@GENE_CBR1,@GENE_DHFR,blue
@GENE_CYP2E1,@GENE_CYP1A1,blue
@GENE_CYP2E1,@GENE_CYP1A2,blue
@GENE_CYP2E1,@GENE_CYP2C19,blue
@GENE_CYP2E1,@GENE_CYP2C9,blue
@GENE_CYP2E1,@GENE_CYP4F3,blue
@GENE_CYP2E1,@GENE_HSD11B1,blue
@GENE_CYP2E1,@GENE_PTGS2,blue
@GENE_CYP1A1,@GENE_CYP19A1,blue
@GENE_CYP1A1,@GENE_CYP2C9,blue
@GENE_CYP1A1,@GENE_CYP1A2,blue
@GENE_CYP1A1,@GENE_HSD11B1,blue
@GENE_CYP1A1,@GENE_CYP1B1,blue
@GENE_CYP1A1,@GENE_IDO1,blue
@GENE_DHFR,@GENE_TH,blue
@GENE_DHFR,@GENE_PAH,blue
@GENE_CCL2,@GENE_CXCL13,blue
@GENE_CCL2,@GENE_CXCL8,blue
@GENE_CCL2,@GENE_CXCL9,blue
@GENE_CCL2,@GENE_CCR2,green
@GENE_CXCL13,@GENE_CXCL10,blue
@GENE_CXCL13,@GENE_CXCL9,blue
@GENE_CXCL13,@GENE_CXCR5,blue
@GENE_CXCL13,@GENE_CD4,red
@GENE_CXCL9,@GENE_CXCL10,blue
@GENE_CXCL9,@GENE_CXCL12,blue
@GENE_CCL20,@GENE_CXCL12,blue
@GENE_CXCL12,@GENE_CXCL10,blue
@GENE_CXCL12,@GENE_CXCR4,green
@GENE_HDAC4,@GENE_HDAC5,blue
@GENE_HDAC4,@GENE_HIF1A,blue
@GENE_HDAC4,@GENE_SOST,red
@GENE_FOS,@GENE_ESR2,blue
@GENE_FOS,@GENE_IL1A,blue
@GENE_FOS,@GENE_STAT1,blue
@GENE_FOS,@GENE_TNFSF11,red
@GENE_CD274,@GENE_CD80,blue
@GENE_CD274,@GENE_PDCD1,green
@GENE_CD274,@GENE_IL6,red
@GENE_CD274,@GENE_CD8A,red
@GENE_CD274,@GENE_STAT1,red
@GENE_CD274,@GENE_IFNG,red
@GENE_CD80,@GENE_CD28,blue
@GENE_CD80,@GENE_CTLA4,green
@GENE_PDCD1,@GENE_PTPN11,blue
@GENE_PDCD1,@GENE_DKK1,red
@GENE_PDCD1,@GENE_CD4,red
@GENE_PDCD1,@GENE_CD8A,red
@GENE_PDCD1,@GENE_CXCR4,red
@GENE_CD28,@GENE_CD4,red
@GENE_CD4,@GENE_PTK2,blue
@GENE_CD4,@GENE_SYK,blue
@GENE_CD4,@GENE_CD8A,green
@GENE_CD4,@GENE_IL13,red
@GENE_CD4,@GENE_IL6,red
@GENE_CD4,@GENE_IL10,red
@GENE_CD4,@GENE_FOXP3,red
@GENE_CD4,@GENE_IFNG,red
@GENE_CD4,@GENE_CXCR5,red
@GENE_PTK2,@GENE_ERBB2,blue
@GENE_PTK2,@GENE_FLT1,blue
@GENE_PTK2,@GENE_PDGFRA,blue
@GENE_PTK2,@GENE_PTEN,blue
@GENE_PTK2,@GENE_VHL,blue
@GENE_PTK2,@GENE_SOCS3,blue
@GENE_PTK2,@GENE_STAT1,blue
@GENE_PTK2,@GENE_PTPN11,blue
@GENE_PTK2,@GENE_SOS1,blue
@GENE_SYK,@GENE_CD8A,blue
@GENE_SYK,@GENE_PTPN11,blue
@GENE_SYK,@GENE_SIRPA,blue
@GENE_SYK,@GENE_VAV1,blue
@GENE_SYK,@GENE_SH3BP2,red
@GENE_CD8A,@GENE_HIF1A,red
@GENE_CD8A,@GENE_SPP1,red
@GENE_CD8A,@GENE_IL7R,red
@GENE_CD8A,@GENE_CSF2,red
@GENE_CD40,@GENE_CD40LG,green
@GENE_CD44,@GENE_CD74,blue
@GENE_CD44,@GENE_COL1A1,blue
@GENE_CD44,@GENE_ERBB2,blue
@GENE_CD44,@GENE_SPP1,green
@GENE_CD44,@GENE_VAV1,blue
@GENE_CD74,@GENE_NAT10,blue
@GENE_CD74,@GENE_LGMN,blue
@GENE_CD74,@GENE_IMP3,blue
@GENE_CD74,@GENE_MIF,green
@GENE_ERBB2,@GENE_HGF,blue
@GENE_ERBB2,@GENE_IRS1,blue
@GENE_ERBB2,@GENE_INS,blue
@GENE_ERBB2,@GENE_PTPN11,blue
@GENE_ERBB2,@GENE_IGF1,blue
@GENE_SPP1,@GENE_MMP3,blue
@GENE_VAV1,@GENE_PTPN11,blue
@GENE_VAV1,@GENE_RAC1,blue
@GENE_VAV1,@GENE_SH3BP2,green
@GENE_CD47,@GENE_SIRPA,green
@GENE_SIRPA,@GENE_PTPN11,blue
@GENE_NAT10,@GENE_IMP3,blue
@GENE_MIF,@GENE_HPD,blue
@GENE_MIF,@GENE_TAT,blue
@GENE_SMAD4,@GENE_SMAD2,blue
@GENE_SMAD4,@GENE_SMAD3,blue
@GENE_SMAD4,@GENE_TGFBR1,blue
@GENE_CDO1,@GENE_GCLC,blue
@GENE_CDO1,@GENE_GCLM,blue
@GENE_GCLC,@GENE_GCLM,blue
@GENE_GCLC,@GENE_NFE2L2,red
@GENE_GCLM,@GENE_NFE2L2,red
@GENE_CFTR,@GENE_PRKAA2,blue
@GENE_PRKAA2,@GENE_PPARGC1A,blue
@GENE_PRKAA2,@GENE_NFE2L2,red
@GENE_CGAS,@GENE_STING1,green
@GENE_PPARGC1A,@GENE_NR1H4,blue
@GENE_PPARGC1A,@GENE_NR3C1,blue
@GENE_PPARGC1A,@GENE_PPARA,blue
@GENE_PPARGC1A,@GENE_PPARG,blue
@GENE_PPARGC1A,@GENE_SIRT3,blue
@GENE_PPARGC1A,@GENE_TFAM,green
@GENE_IL6,@GENE_IL10,blue
@GENE_IL6,@GENE_DKK1,red
@GENE_IL6,@GENE_TGFB1,red
@GENE_IL6,@GENE_SOST,red
@GENE_IL6,@GENE_IFNG,red
@GENE_IL6,@GENE_TNFSF11,red
@GENE_IL10,@GENE_TNFRSF1A,blue
@GENE_CSF3,@GENE_PRL,blue
@GENE_CSF3,@GENE_LEP,blue
@GENE_CSF3,@GENE_EPO,blue
@GENE_PRL,@GENE_EPO,blue
@GENE_PRL,@GENE_LEP,blue
@GENE_LEP,@GENE_EPO,blue
@GENE_EPO,@GENE_HIF1A,blue
@GENE_POU5F1,@GENE_SMAD3,blue
@GENE_POU5F1,@GENE_SOX2,blue
@GENE_SMAD2,@GENE_SMAD3,blue
@GENE_SMAD2,@GENE_TGFBR1,blue
@GENE_SMAD2,@GENE_TGFB1,red
@GENE_PPARG,@GENE_PAX8,blue
@GENE_PPARG,@GENE_TGFB1,blue
@GENE_SOX2,@GENE_SMAD3,blue
@GENE_SMAD3,@GENE_HIF1A,blue
@GENE_SMAD3,@GENE_NR3C1,blue
@GENE_SMAD3,@GENE_TGFBR1,blue
@GENE_SMAD3,@GENE_TGFB1,red
@GENE_HIF1A,@GENE_VHL,blue
@GENE_HIF1A,@GENE_PKM,red
@GENE_CUL3,@GENE_GLI1,blue
@GENE_CUL3,@GENE_SUFU,blue
@GENE_CUL3,@GENE_GLI2,blue
@GENE_CUL3,@GENE_NFE2L2,blue
@GENE_CUL3,@GENE_KEAP1,blue
@GENE_GLI1,@GENE_GLI2,blue
@GENE_GLI1,@GENE_SUFU,green
@GENE_GLI1,@GENE_HHIP,red
@GENE_GLI1,@GENE_SMO,red
@GENE_GLI1,@GENE_IHH,red
@GENE_GLI1,@GENE_SHH,red
@GENE_SUFU,@GENE_GLI2,blue
@GENE_SUFU,@GENE_SMO,blue
@GENE_GLI2,@GENE_SHH,red
@GENE_NFE2L2,@GENE_GSR,blue
@GENE_NFE2L2,@GENE_HMOX1,green
@GENE_NFE2L2,@GENE_IDH1,blue
@GENE_NFE2L2,@GENE_KEAP1,green
@GENE_NFE2L2,@GENE_GPX4,red
@GENE_NFE2L2,@GENE_NQO1,red
@GENE_KEAP1,@GENE_HMOX1,red
@GENE_CXCL10,@GENE_IFNG,red
@GENE_CXCR4,@GENE_F2,blue
@GENE_F2,@GENE_F2R,blue
@GENE_CYBB,@GENE_MMP2,blue
@GENE_CYBB,@GENE_NAMPT,blue
@GENE_CYBB,@GENE_MMP9,blue
@GENE_MMP2,@GENE_MMP9,blue
@GENE_MMP2,@GENE_TGFB1,blue
@GENE_NAMPT,@GENE_NT5E,blue
@GENE_NAMPT,@GENE_SIRT3,blue
@GENE_MMP9,@GENE_MMP3,blue
@GENE_MMP9,@GENE_TGFB1,blue
@GENE_MMP9,@GENE_TNFSF11,red
@GENE_CYP2C9,@GENE_CYP1A2,blue
@GENE_CYP2C9,@GENE_CYP2C19,blue
@GENE_CYP2C9,@GENE_CYP4F3,blue
@GENE_CYP2C9,@GENE_PTGS2,blue
@GENE_CYP1A2,@GENE_IDO1,blue
@GENE_CYP1A2,@GENE_CYP1B1,blue
@GENE_CYP1A2,@GENE_XDH,blue
@GENE_CYP1A2,@GENE_CYP2C19,blue
@GENE_CYP1B1,@GENE_IDO1,blue
@GENE_IDO1,@GENE_DDC,blue
@GENE_IDO1,@GENE_TDO2,blue
@GENE_IDO1,@GENE_IFNG,red
@GENE_CYP2C19,@GENE_CYP4F3,blue
@GENE_CYP2C19,@GENE_PTGS2,blue
@GENE_CYP27A1,@GENE_LIPA,blue
@GENE_CYP27A1,@GENE_SOST,red
@GENE_CYP4F3,@GENE_PTGS2,blue
@GENE_DDC,@GENE_TYR,blue
@GENE_DDC,@GENE_TAT,blue
@GENE_DDC,@GENE_TH,blue
@GENE_DDC,@GENE_TDO2,blue
@GENE_DDC,@GENE_PAH,blue
@GENE_TYR,@GENE_PAH,blue
@GENE_TYR,@GENE_TAT,blue
@GENE_TYR,@GENE_TH,blue
@GENE_TYR,@GENE_MITF,red
@GENE_TAT,@GENE_HPD,blue
@GENE_TAT,@GENE_PAH,blue
@GENE_TAT,@GENE_TH,blue
@GENE_TH,@GENE_PAH,blue
@GENE_DKK1,@GENE_TGFB1,red
@GENE_DKK1,@GENE_WNT2,red
@GENE_DKK1,@GENE_WNT3A,red
@GENE_DKK1,@GENE_IFNG,red
@GENE_DKK1,@GENE_PTH,red
@GENE_DKK1,@GENE_TNFRSF11B,red
@GENE_DNMT1,@GENE_DNMT3B,blue
@GENE_PDGFRA,@GENE_HGF,blue
@GENE_PDGFRA,@GENE_INS,blue
@GENE_PDGFRA,@GENE_STAT1,blue
@GENE_PDGFRA,@GENE_SOS1,blue
@GENE_PDGFRA,@GENE_PTPN11,blue
@GENE_SOCS3,@GENE_IRS1,blue
@GENE_SOCS3,@GENE_STAT1,blue
@GENE_IRS1,@GENE_INS,blue
@GENE_IRS1,@GENE_KL,blue
@GENE_IRS1,@GENE_PTPN11,blue
@GENE_STAT1,@GENE_KIT,blue
@GENE_STAT1,@GENE_PTPN11,blue
@GENE_IGF1,@GENE_INS,blue
@GENE_INS,@GENE_KIT,blue
@GENE_INS,@GENE_SOST,red
@GENE_PTPN11,@GENE_KIT,blue
@GENE_PTPN11,@GENE_SOS1,blue
@GENE_ELN,@GENE_LOX,green
@GENE_ESR2,@GENE_SOST,red
@GENE_F2R,@GENE_PROCR,blue
@GENE_FAH,@GENE_GSTZ1,blue
@GENE_GSTZ1,@GENE_HGD,blue
@GENE_FGF23,@GENE_KL,blue
@GENE_FGF23,@GENE_SOST,red
@GENE_FGF23,@GENE_PTH,red
@GENE_IL1A,@GENE_SOST,red
@GENE_G6PD,@GENE_PKM,blue
@GENE_MC2R,@GENE_MRAP,green
@GENE_HPD,@GENE_HGD,blue
@GENE_IDH2,@GENE_IDH1,blue
@GENE_GPC3,@GENE_WNT2,blue
@GENE_GPC3,@GENE_WNT3A,blue
@GENE_GPC3,@GENE_WNT1,blue
@GENE_GPC3,@GENE_IHH,blue
@GENE_GPC3,@GENE_SHH,blue
@GENE_WNT3A,@GENE_SOST,red
@GENE_IHH,@GENE_HHIP,blue
@GENE_IHH,@GENE_SHH,blue
@GENE_IHH,@GENE_PTCH1,blue
@GENE_SHH,@GENE_HHIP,blue
@GENE_SHH,@GENE_PTCH1,green
@GENE_SHH,@GENE_SMO,red
@GENE_GPX4,@GENE_GSR,blue
@GENE_NFATC1,@GENE_SH3BP2,red
@GENE_HDAC5,@GENE_SOST,red
@GENE_HMOX1,@GENE_IL13,blue
@GENE_HMOX1,@GENE_IL4,blue
@GENE_PTCH1,@GENE_SMO,green
@GENE_TNFRSF1A,@GENE_SPATA2,blue
@GENE_IL12B,@GENE_IL23A,blue
@GENE_LATS1,@GENE_NF2,blue
@GENE_SOST,@GENE_TGFB1,red
@GENE_SOST,@GENE_PTH,red
@GENE_SOST,@GENE_TNFSF11,red
@GENE_SOST,@GENE_TNFRSF11B,red
@GENE_MITF,@GENE_TFE3,blue
@GENE_MITF,@GENE_SH3BP2,red
@GENE_TGFB1,@GENE_TGFBR1,green
@GENE_MYD88,@GENE_TLR4,blue
@GENE_NR1H3,@GENE_PPARA,blue
@GENE_PBRM1,@GENE_SMARCB1,blue
@GENE_SH3BP2,@GENE_TNFSF11,red
@GENE_PTH,@GENE_PTH1R,green
@GENE_PTH,@GENE_TNFSF11,red
@GENE_PTH,@GENE_TNFRSF11B,red
@GENE_RARA,@GENE_ZBTB16,blue
@GENE_TNFRSF11A,@GENE_TNFSF11,green
@GENE_TNFSF11,@GENE_TNFRSF11B,green
