pubtator3_label
@GENE_TYR
@CHEMICAL_Phenol
@GENE_TPO
@CHEMICAL_3_iodotyrosine
@CHEMICAL_3_5_Diiodo_L_tyrosine
@CHEMICAL_Triiodothyronine
@CHEMICAL_Thyroxine
@CHEMICAL_5_6_Dihydroxyindole_2_carboxylate
@GENE_DCT
@GENE_MAOA
@GENE_MAOB
@GENE_ALDH3A1
@GENE_ALDH3B1
@GENE_ALDH3B2
@GENE_COMT
@GENE_LRTOMT
@GENE_ADH1A
@GENE_ADH1B
@GENE_ADH1C
@GENE_ADH4
@GENE_ADH5
@GENE_ADH6
@GENE_ADH7
@GENE_PNMT
@GENE_DBH
@GENE_DDC
@GENE_TH
@GENE_AOC2
@GENE_AOC3
@CHEMICAL_dopaquinone
@CHEMICAL_2_Carboxy_2_3_dihydro_5_6_dihydroxyindole
@CHEMICAL_L_Dopachrome
@CHEMICAL_5_6_dihydroxyindole
@CHEMICAL_Indole_5_6_quinone
@CHEMICAL_3_4_Dihydroxy_L_phenylalanine
@CHEMICAL_3_3_4_Dihydroxyphenyl_pyruvate
@CHEMICAL_Dopamine
@CHEMICAL_3_methoxytyramine
@CHEMICAL_3_4_dihydroxyphenylacetaldehyde
@CHEMICAL_3_Methoxy_4_hydroxyphenylacetaldehyde
@CHEMICAL_phorbol_12_phenylacetate_13_acetate_20_homovanillate
@CHEMICAL_L_Noradrenaline
@CHEMICAL_L_Normetanephrine
@CHEMICAL_L_Adrenaline
@CHEMICAL_L_Metanephrine
@CHEMICAL_3_Methoxy_4_hydroxymandelate
@CHEMICAL_3_4_Dihydroxymandelate
@CHEMICAL_3_4_Dihydroxymandelaldehyde
@CHEMICAL_3_4_Dihydroxyphenylethyleneglycol
@CHEMICAL_3_Methoxy_4_hydroxyphenylethyleneglycol
@CHEMICAL_R_3_3_4_Dihydroxyphenyl_lactate
@CHEMICAL_5_L_Alanin_3_yl_2_hydroxy_cis_cis_muconate_6_semialdehyde
@CHEMICAL_Rosmarinate
@CHEMICAL_4_L_Alanin_3_yl_2_hydroxy_cis_cis_muconate_6_semialdehyde
@CHEMICAL_Stizolobate
@CHEMICAL_Stizolobinate
@CHEMICAL_eumelanin
@GENE_TYRP1
@CHEMICAL_5_6_Indolequinone_2_carboxylic_acid
@CHEMICAL_Cysteinyldopa
@CHEMICAL_Melanins
@CHEMICAL_3_4_Dihydroxyphenylpropanoate
@GENE_FAHD1
@GENE_GSTZ1
@GENE_HGD
@GENE_GOT1L1
@GENE_GOT1
@GENE_GOT2
@GENE_MIF
@GENE_HPD
@GENE_IL4I1
@GENE_TAT
@GENE_AOX1
@CHEMICAL_acetoacetic_acid
@CHEMICAL_Fumarates
@CHEMICAL_4_Fumarylacetoacetate
@CHEMICAL_4_Maleylacetoacetate
@CHEMICAL_hydroquinone
@CHEMICAL_Pyruvic_Acid
@CHEMICAL_3_Fumarylpyruvate
@CHEMICAL_maleylpyruvic_acid
@CHEMICAL_2_5_dihydroxybenzoic_acid
@CHEMICAL_Gentisate_aldehyde
@CHEMICAL_R_3_4_Hydroxyphenyl_lactate
@CHEMICAL_3_4_Hydroxyphenyl_pyruvate
@CHEMICAL_2_Hydroxy_3_4_hydroxyphenyl_propenoate
@CHEMICAL_Tyrosine
@CHEMICAL_3_Amino_3_4_hydroxyphenyl_propanoate
@GENE_FAH
@CHEMICAL_Homogentisate
@CHEMICAL_4_Coumarate
@CHEMICAL_maleic_acid
@CHEMICAL_4_hydroxyphenylethanol
@CHEMICAL_rhodioloside
@CHEMICAL_2_hydroxy_5_carboxymethylmuconate_semialdehyde
@CHEMICAL_2_hydroxy_5_carboxymethylmuconate_semialdehyde
@CHEMICAL_5_Carboxy_2_oxohept_3_enedioate
@CHEMICAL_2_Hydroxyhepta_2_4_dienedioate
@CHEMICAL_Succinate_semialdehyde
@CHEMICAL_Succinic_Acid
@CHEMICAL_p_Hydroxyphenylacetylglycine
@CHEMICAL_4_Hydroxyphenylacetylglutamic_acid
@CHEMICAL_3_4_Dihydroxyphenylacetate
@CHEMICAL_4_hydroxyphenylacetate
@CHEMICAL_4_Hydroxyphenylacetyl_CoA
@CHEMICAL_4_hydroxyphenylacetaldehyde
@CHEMICAL_Tyramine
@CHEMICAL_methyl_4_tyramine
@CHEMICAL_4_chlorophenylacetic_acid
@CHEMICAL_2_Oxohept_3_enedioate
@CHEMICAL_2_4_Dihydroxyhept_2_enedioate
@CHEMICAL_hordenine
@CHEMICAL_3_hydroxyphenylacetate
@CHEMICAL_3_Methoxy_4_hydroxyphenylglycolaldehyde
