gene	drug	regulatory approval	indication	interaction score
ATM	SCHISANHENOL	Not Approved	""	0.6692794687036606
ATM	PEGYLATED SN-38 CONJUGATE PLX038	Not Approved	""	1.338558937407321
ATM	E-7820	Not Approved	""	0.446186312469107
ATM	NAFTIFINE	Approved	""	0.3346397343518303
ATM	NIRAPARIB	Approved	antineoplastic agent	0.1181081415359401
ATM	TALAZOPARIB	Approved	""	0.1673198671759151
ATM	TUVUSERTIB	Not Approved	""	1.338558937407321
ATM	CHEMBL:CHEMBL374632	Not Approved	""	0.06084358806396914
ATM	CAMONSERTIB	Not Approved	""	1.00391920305549
ATM	PJ34	Not Approved	""	0.446186312469107
ATM	ISOVELLERAL	Not Approved	""	0.04182996679397879
ATM	AZD0156	Not Approved	""	0.2230931562345535
ATM	BINIMETINIB	Approved	antineoplastic agent,DMARD,antiinflammatory agent	0.06692794687036606
ATM	HEPTACHLOR	Not Approved	""	0.2230931562345535
ATM	CHEMBL:CHEMBL74852	Not Approved	""	0.2230931562345535
ATM	DIPYRIDAMOLE	Approved	antithrombotic,anticoagulant	0.01195141908399394
ATM	CYCLOPHOSPHAMIDE ANHYDROUS	Approved	""	0.0165254189803373
ATM	IPILIMUMAB	Approved	antineoplastic agent	0.08923726249382141
ATM	METHYLENE BLUE ANHYDROUS	Approved	""	0.01808863428928812
ATM	CHEMBL:CHEMBL299853	Not Approved	""	0.03718219270575892
ATM	CHEMBL:CHEMBL1329443	Not Approved	""	0.2230931562345535
ATM	MITOTANE	Approved	""	0.07436438541151784
ATM	AZD1390	Not Approved	""	0.446186312469107
ATM	CISPLATIN	Approved	""	0.01365876466742164
ATM	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.01825307641919074
ATM	STREPTONIGRIN	Not Approved	""	0.03346397343518303
ATM	FLUDARABINE	Approved	antineoplastic agent	0.03936938051198004
ATM	NU-7441	Not Approved	""	0.2230931562345535
ATM	PARP/TANKYRASE INHIBITOR 2X-121	Not Approved	""	0.4015676812221963
ATM	KU-55933	Not Approved	""	0.446186312469107
ATM	FLUNARIZINE DIHYDROCHLORIDE	Not Approved	""	0.1338558937407321
ATM	PHLORETIN	Approved	""	0.04182996679397879
ATM	FLUOROURACIL	Approved	""	0.02884825296136467
ATM	LEUCOVORIN CALCIUM	Approved	adjuvant to chemotherapy	0.03718219270575892
ATM	RUCAPARIB	Approved	""	0.1952065117052343
ATM	AZD7648	Not Approved	""	0.2677117874814642
ATM	ATM INHIBITOR M 3541	Not Approved	""	0.6692794687036606
ATM	VALPROIC ACID	Approved	Anticonvulsants,for treatment of basal cell carcinoma,anticonvulsant	0.023483490129953
ATM	IRINOTECAN HYDROCHLORIDE	Approved	antineoplastic agent	0.05311741815108417
ATM	CHEMBL:CHEMBL578061	Not Approved	""	0.02677117874814642
ATM	CAPECITABINE	Approved	""	0.02624625367465335
ATM	ESTRADIOL 3-BENZOATE	Approved	""	0.06692794687036606
ATM	TEMOZOLOMIDE	Approved	""	0.127481803562602
ATM	SELUMETINIB	Approved	""	0.02028119602132305
BRAF	TGX-221	Not Approved	""	0.1305094963972138
BRAF	SORAFENIB	Approved	antineoplastic agent	0.08851948451289288
BRAF	BINIMETINIB	Approved	antineoplastic agent,DMARD,antiinflammatory agent	0.5872927337874623
BRAF	HSP90 INHIBITOR XL888	Not Approved	antineoplastic agent	0.1957642445958207
BRAF	UPROSERTIB	Not Approved	""	0.05220379855888553
BRAF	TOVORAFENIB	Approved	""	0.3915284891916415
BRAF	EXARAFENIB	Not Approved	""	0.1305094963972138
BRAF	PLX-4720	Not Approved	""	0.5800422062098393
BRAF	DABRAFENIB	Approved	antineoplastic agent	2.474846746495314
BRAF	KO-947	Not Approved	""	0.05220379855888553
BRAF	VEMURAFENIB	Approved	antineoplastic agent	1.587277658885033
BRAF	DASATINIB ANHYDROUS	Approved	antineoplastic agent	0.07899258992462942
BRAF	OXALIPLATIN	Approved	""	0.04121352517806753
BRAF	BEVACIZUMAB	Approved	antineoplastic agent	0.03262737409930346
BRAF	FUTIBATINIB	Approved	""	0.04745799868989594
BRAF	LGX-806	Not Approved	""	0.1305094963972138
BRAF	TRAMETINIB DIMETHYL SULFOXIDE	Approved	antineoplastic agent	1.488363618487375
BRAF	RABEPRAZOLE	Approved	Proton pump inhibitor	0.02007838406110982
BRAF	(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE	Not Approved	""	0.1740126618629517
BRAF	RAVOXERTINIB	Not Approved	""	0.2175158273286897
BRAF	MAP855	Not Approved	""	0.2610189927944277
BRAF	TAZEMETOSTAT	Approved	""	0.06525474819860692
BRAF	GDC-0879	Not Approved	""	0.2610189927944277
BRAF	CHLOROQUINE	Approved	""	0.03262737409930346
BRAF	ATEZOLIZUMAB	Approved	""	0.08700633093147589
BRAF	AZ628	Not Approved	""	0.3915284891916415
BRAF	PICTILISIB BISMESYLATE	Not Approved	""	0.2610189927944277
BRAF	BI-847325	Not Approved	""	0.04745799868989594
BRAF	VINBLASTINE	Approved	Antineoplastic Agents	0.01535405839967221
BRAF	BRAF(V600E) KINASE INHIBITOR RO5212054	Not Approved	""	0.5220379855888554
BRAF	MIRDAMETINIB	Not Approved	""	0.1740126618629517
BRAF	COBIMETINIB	Approved	antineoplastic agent	0.4533487769587427
BRAF	AGERAFENIB	Not Approved	""	0.104407597117771
BRAF	CFT1946	Not Approved	""	0.2610189927944277
BRAF	PI3K/BET INHIBITOR LY294002	Not Approved	""	0.08700633093147589
BRAF	AGERAFENIB	Not Approved	""	0.1740126618629517
BRAF	ENTINOSTAT	Not Approved	antineoplastic agent	0.02485895169470739
BRAF	U0126	Not Approved	""	0.1305094963972138
BRAF	PONATINIB	Approved	antineoplastic agent	0.03011757609166473
BRAF	CETUXIMAB	Approved	antineoplastic agent	0.9029846237212633
BRAF	GANETESPIB	Not Approved	antineoplastic agent	0.06525474819860692
BRAF	NVP-TAE 226	Not Approved	""	0.07457685508412219
