gene	drug	regulatory approval	indication	interaction score
NFATC1	MYCOPHENOLATE	Approved	immunosuppressant	1.186449967247398
NFATC1	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.450032746197289
NFATC1	METHOTREXATE	Approved	DMARD	0.2372899934494797
NFATC1	PREDNISONE	Approved	corticosteroid,antiinflammatory agent	0.5800422062098393
POSTN	ANTISERUM	Not Approved	""	2.983074203364888
CRYGD	DOXAPRAM	Approved	""	26.10189927944276
CRYGD	HE3235	Not Approved	antineoplastic agent	13.05094963972138
IHH	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1	Not Approved	""	4.971790338941479
SOST	AMG-167	Not Approved	""	6.525474819860691
SOST	SETRUSUMAB	Not Approved	""	6.525474819860691
SOST	SETRUSUMAB	Not Approved	""	6.525474819860691
SOST	ROMOSOZUMAB	Approved	""	13.05094963972138
SOST	ALENDRONATE SODIUM	Approved	Bisphosphonates	1.087579136643448
SOST	ANTI-SCLEROSTIN	Not Approved	""	6.525474819860691
SOST	BLOSOZUMAB	Not Approved	""	6.525474819860691
SOST	BLOSOZUMAB	Not Approved	""	6.525474819860691
SUFU	SONIDEGIB	Approved	antineoplastic agent	8.700633093147589
SLC7A11	RILUZOLE	Approved	for treatment of ALS	2.269730372125458
CDK4	RIBOCICLIB	Approved	antineoplastic agent	0.3625263788811495
CDK4	R547	Not Approved	""	0.2330526721378818
CDK4	PALBOCICLIB	Approved	""	0.1919257299959026
CDK4	RECOMBINANT TRANSFORMING GROWTH FACTOR	Not Approved	""	0.0741531229529624
CDK4	ATIRMOCICLIB	Not Approved	""	0.4078421762412932
CDK4	VORUCICLIB	Not Approved	""	0.1631368704965173
CDK4	SOMATROPIN (RECOMBINANT DNA ORIGIN)	Approved	growth hormone replacement therapy,hormone replacement,for treatment of spinal muscular atrophy,For treatment of growth disorders	0.1087579136643448
CDK4	TANESPIMYCIN	Not Approved	antineoplastic agent	0.1254899003819364
CDK4	SU9516	Not Approved	""	0.05098027203016165
CDK4	BSJ-03-123	Not Approved	""	0.4078421762412932
CDK4	CP-10	Not Approved	""	0.4078421762412932
CDK4	RO-0505124	Not Approved	""	1.223526528723879
CDK4	ALVOCIDIB	Not Approved	antineoplastic agent	0.1942105601149015
CDK4	MKC-1	Not Approved	antineoplastic agent	0.0741531229529624
CDK4	RIVICICLIB	Not Approved	""	0.4894106114895518
CDK4	NARAZACICLIB	Not Approved	""	0.2718947841608621
CDK4	MILCICLIB	Not Approved	""	0.1483062459059248
CDK4	ABEMACICLIB	Approved	""	0.3005152877567423
CDK4	CDK4 INHIBITOR III	Not Approved	""	0.2718947841608621
CDK4	BSJ-04-132	Not Approved	""	0.4078421762412932
CDK4	CDK1/2/4 INHIBITOR AG-024322	Not Approved	""	0.2718947841608621
CDK4	RONICICLIB	Not Approved	""	0.1165263360689409
CDK4	CGP74514A	Not Approved	""	0.1019605440603233
CDK4	TRILACICLIB	Approved	""	0.3495790082068228
CDK4	PHA-793887	Not Approved	""	0.0776842240459606
CDK4	FASCAPLYSIN	Not Approved	""	0.8156843524825864
CDK4	INIXACICLIB	Not Approved	""	0.4078421762412932
CDK4	AT-7519	Not Approved	""	0.0388421120229803
CDK4	CDK4 INHIBITOR	Not Approved	""	0.2718947841608621
CDK4	AZD5438	Not Approved	""	0.03398684802010777
CDK4	TANUXICICLIB	Not Approved	""	0.1631368704965173
CDK4	CDK2 INHIBITOR IV	Not Approved	""	0.1019605440603233
CDK4	EBVACICLIB	Not Approved	""	0.2718947841608621
CDK4	BSJ-03-204	Not Approved	""	0.4078421762412932
CDK4	ULECACICLIB	Not Approved	""	0.4078421762412932
CDK4	PURVALANOL A	Not Approved	""	0.2718947841608621
CDK4	CDK4 INHIBITOR II	Not Approved	""	0.4078421762412932
CDK4	CIMPUCICLIB	Not Approved	""	0.4078421762412932
CDK4	CDK INHIBITOR 4.35	Not Approved	""	0.1165263360689409
CDK4	ANTINEOPLASTIC AGENT	Not Approved	""	0.1165263360689409
CDK4	PURVALANOL B	Not Approved	""	0.2039210881206466
CDK4	CHEMBL:CHEMBL1956069	Not Approved	""	1.631368704965172
CDK4	UCN-01	Not Approved	""	0.04078421762412932
CDK4	TRILACICLIB DIHYDROCHLORIDE	Approved	""	0.4078421762412932
CDK4	CAMPTOTHECIN	Approved	antineoplastic agent	0.04661053442757637
CDK4	AG-24322	Not Approved	""	0.2718947841608621
CDK4	TIBREMCICLIB	Not Approved	""	0.4078421762412932
CDK4	TRILACICLIB	Not Approved	""	0.4078421762412932
CDK4	AT-7519	Not Approved	""	0.135947392080431
CDK4	NICOTINE POLACRILEX	Approved	Central Nervous System Stimulants	0.03546453706446028
CDK4	APREMILAST	Approved	antipsoriatic,DMARD,antiinflammatory agent	0.08156843524825864
CDK4	RGB-286638	Not Approved	""	0.128792266181461
CDK4	ASCORBIC ACID	Approved	""	0.0627449501909682
CDK4	DEXAMETHASONE	Approved	for treatment of Meniere's disease,glucocorticoid,antiinflammatory agent	0.01919257299959027
CDK4	DALPICICLIB	Not Approved	""	0.4078421762412932
CDK4	LEROCICLIB	Not Approved	""	0.5437895683217243
CDK4	PHA-767491	Not Approved	""	0.02471770765098746
CDK4	ALPELISIB	Approved	""	0.02265789868007184
CDK4	RIBOCICLIB SUCCINATE	Approved	""	0.8156843524825864
CDK4	BMS-387032	Not Approved	""	0.04798143249897567
CDK4	CLONIDINE HYDROCHLORIDE	Approved	antimucositic,for treatment of ADHD,for treatment of diabetic neuropathy	0.0627449501909682
CDK4	PROGESTIN	Approved	contraceptive	0.1483062459059248
CDK4	CROZBACICLIB	Not Approved	""	0.4078421762412932
CDK4	COMPOUND 9B [PMID: 18986805]	Not Approved	""	0.2039210881206466
ACP5	TRYPTOPHAN	Approved	""	0.2509798007638728
ACP5	NPS 2143	Not Approved	""	1.003919203055491
ACP5	SB-423562	Not Approved	""	2.007838406110982
ACP5	STREPTOZOCIN	Approved	""	0.08729732200482532
ACP5	CA2+	Not Approved	""	0.05019596015277455
ACP5	LENOGRASTIM	Approved	""	0.3650615283838149
ACP5	ATF936	Not Approved	""	2.007838406110982
ACP5	ANALGESIC AGENT	Not Approved	""	0.4015676812221964
ACP5	EVOCALCET	Not Approved	""	1.003919203055491
ACP5	ALTEPLASE	Approved	Thrombolytic agent	0.191222705343903
ACP5	(R)-2H [PMID:19625189]	Not Approved	""	2.007838406110982
ACP5	SPERMINE	Not Approved	""	0.2230931562345535
ACP5	UPACICALCET	Not Approved	""	2.007838406110982
ACP5	RONACALERET	Not Approved	""	2.007838406110982
ACP5	TECALCET	Not Approved	""	2.007838406110982
ACP5	CALINDOL	Not Approved	""	2.007838406110982
ACP5	ETELCALCETIDE	Approved	""	1.003919203055491
ACP5	CINACALCET	Approved	Calcimimetics	0.6692794687036606
ACP5	M-CSF	Not Approved	""	1.003919203055491
ACP5	AXT914	Not Approved	""	1.003919203055491
ACP5	ENCALERET	Not Approved	""	2.007838406110982
ACP5	COMPOUND 18C [PMID:19143533]	Not Approved	""	2.007838406110982
ACP5	AC265347	Not Approved	""	2.007838406110982
ACP5	CALHEX 231	Not Approved	""	2.007838406110982
ACP5	2-METHYL-3-PHENETHYL-3H-PYRIMIDIN-4-ONE	Not Approved	""	2.007838406110982
ACP5	COMPOUND (S)-3H [PMID: 15686947]	Not Approved	""	2.007838406110982
MYD88	ZANUBRUTINIB	Approved	""	4.350316546573794
MYD88	FENTANYL CITRATE	Approved	adjuvant to anesthesia,opioid,analgesic	1.160084412419678
MYD88	IBRUTINIB	Approved	antineoplastic agent	1.535405839967221
BGLAP	CELECOXIB	Approved	NSAID	0.04211682013625295
BGLAP	TAMOXIFEN	Approved	Hormonal,Antineoplastic Agents	0.0434127222942915
BGLAP	BDNF	Not Approved	""	0.4703044915214913
BGLAP	MITOMYCIN	Approved	""	0.1175761228803728
BGLAP	VITAMIN D	Approved	""	0.2170636114714575
BGLAP	EXEMESTANE	Approved	antineoplastic agent	0.1763641843205592
BGLAP	RJW100	Not Approved	""	0.7054567372822369
BGLAP	CLODRONIC ACID	Approved	antineoplastic agent	0.2565297226480861
BGLAP	DACTINOMYCIN	Approved	""	0.08062362711796993
BGLAP	PTHRP	Not Approved	""	0.3135363276809941
BGLAP	GLYCYRRHETINIC ACID	Approved	""	0.4703044915214913
BGLAP	THERAPEUTIC HORMONE	Not Approved	""	0.06413243066202154
BGLAP	COUMARIN	Approved	""	0.2351522457607456
BGLAP	PD-98059	Not Approved	""	0.07626559321970129
BGLAP	MELATONIN	Approved	Hypnotics and Sedatives	0.0973043775561706
BGLAP	ETIDRONIC ACID	Approved	""	0.2015590677949248
BGLAP	CALCITONIN	Approved	antiosteoporotic agent	0.4703044915214913
BGLAP	PARICALCITOL	Approved	for treatment of hyperparathyroidism	0.9406089830429826
BGLAP	ETIDRONATE DISODIUM	Approved	""	0.9406089830429826
BGLAP	WARFARIN	Approved	Anticoagulants	0.08550990754936205
BGLAP	METHIMAZOLE	Approved	Antithyroid Agents	0.1343727118632832
BGLAP	INFLIXIMAB	Approved	DMARD,antiinflammatory agent	0.09102667577835315
BGLAP	THERAPEUTIC GLUCOCORTICOID	Not Approved	""	0.08299491026849845
BGLAP	NONSTEROIDAL ANTIINFLAMMATORY DRUG	Not Approved	""	0.1659898205369969
BGLAP	CARBAMAZEPINE	Approved	for treatment of bipolar disorder	0.05758830508426423
BGLAP	GM-CSF	Not Approved	vaccine,antineoplastic agent	0.1763641843205592
BGLAP	PREDNISOLONE	Approved	corticosteroid,antiinflammatory agent	0.1007795338974624
BGLAP	THERAPEUTIC ANDROSTANOLONE	Not Approved	""	0.222775811773338
BGLAP	BIOCHANIN A	Not Approved	""	0.9406089830429826
BGLAP	PROPRANOLOL HYDROCHLORIDE	Approved	for treatment of cancer cachexia	0.1175761228803728
BGLAP	ATORVASTATIN CALCIUM TRIHYDRATE	Approved	anticholesterolaemic agent,antihypecholesterolemic agent	0.05130594452961723
BGLAP	DIHYDROTESTOSTERONE	Not Approved	""	0.5643653898257895
BGLAP	RESVERATROL	Approved	antineoplastic agent,antidiabetic,for treatment of herpes simplex virus 1	0.05758830508426423
BGLAP	RECOMBINANT COLONY STIMULATING FACTOR	Not Approved	""	1.410913474564473
BGLAP	GENISTEIN	Approved	""	0.0973043775561706
BGLAP	BECLOMETHASONE DIPROPIONATE	Approved	glucocorticoid,antiinflammatory agent	0.4232740423693421
BGLAP	ISOFLAVONE	Not Approved	""	0.9406089830429826
TNF	NERELIMOMAB	Not Approved	""	0.5613311672998444
TNF	CROMOLYN SODIUM	Approved	""	0.5613311672998444
TNF	PLACULUMAB	Not Approved	""	0.5613311672998444
TNF	METHYLENE BLUE	Not Approved	""	0.06237012969998271
TNF	ALTEPLASE	Approved	Thrombolytic agent	0.05346011117141375
TNF	CARBOPLATIN	Approved	""	0.01305421319301963
TNF	GENTAMICIN	Approved	""	0.04881140585216039
TNF	GOLIMUMAB	Approved	DMARD,antiinflammatory agent,Immunosuppressive Agents	2.245324669199378
TNF	BUPIVACAINE	Approved	neuralgia,analgesic,local anestethic,Local,Anesthetics	0.06603896085880523
TNF	PENTOXIFYLLINE	Approved	for treatment of amyotrophic lateral sclerosis (ALS)	0.01603803335142412
TNF	BENZO[E]PYRENE	Not Approved	""	0.1871103890999481
TNF	THALIDOMIDE	Approved	antineoplastic agent	0.04551333788917658
TNF	PYRAZINAMIDE	Approved	""	0.1295379616845794
TNF	GLIMEPIRIDE	Approved	antidiabetic	0.1403327918249611
TNF	OMEPRAZOLE	Approved	antiulcer agent,Proton pump inhibitor	0.03034222525945105
TNF	LENERCEPT	Not Approved	""	0.5613311672998444
TNF	ADALIMUMAB	Approved	DMARD,antiinflammatory agent	0.06804014149089023
TNF	PRAZOSIN HYDROCHLORIDE	Approved	""	0.1122662334599688
TNF	REMTOLUMAB	Not Approved	""	0.2806655836499222
TNF	MIDOSTAURIN	Approved	antineoplastic agent	0.03207606670284825
TNF	LENABASUM	Not Approved	""	0.1871103890999481
TNF	MAGNESIUM SULFATE ANHYDROUS	Approved	""	0.2806655836499222
TNF	PICIBANIL	Not Approved	""	0.2245324669199377
TNF	FLUOCINOLONE ACETONIDE	Approved	glucocorticoid,antiinflammatory agent	0.2245324669199377
TNF	MILTEFOSINE	Approved	""	0.1871103890999481
TNF	HOMIDIUM BROMIDE	Not Approved	""	0.01935624714827049
TNF	OZORALIZUMAB	Not Approved	DMARD,antiinflammatory agent	1.122662334599689
TNF	PEGSUNERCEPT	Not Approved	""	1.122662334599689
TNF	CERTOLIZUMAB PEGOL	Approved	DMARD,antiinflammatory agent	0.3207606670284825
TNF	THERAPEUTIC HORMONE	Not Approved	""	0.02551505305908383
TNF	NAFAMOSTAT	Not Approved	""	0.05103010611816767
TNF	FOLIC ACID	Approved	""	0.04677759727498704
TNF	ABBV-257	Not Approved	""	0.2806655836499222
TNF	RISPERIDONE	Approved	Antipsychotic Agents,antipsychotic agent	0.02513423137163482
TNF	COVA322	Not Approved	""	0.2806655836499222
TNF	HYDROXYCHLOROQUINE	Approved	antirheumatic agent	0.06237012969998271
TNF	CERTOLIZUMAB	Not Approved	""	0.5613311672998444
TNF	AN0128	Not Approved	""	0.5613311672998444
TNF	5,7-DIHYDROXY-4-METHYLCOUMARIN	Not Approved	""	0.1403327918249611
TNF	SORAFENIB	Approved	antineoplastic agent	0.009762281170432078
TNF	AFELIMOMAB	Not Approved	""	0.5613311672998444
TNF	PLACULUMAB	Not Approved	DMARD,antiinflammatory agent	1.122662334599689
TNF	INFLIXIMAB	Approved	DMARD,antiinflammatory agent	0.07242982803868961
TNF	DIDANOSINE	Approved	""	0.08019016675712064
TNF	ISIS 104838	Not Approved	DMARD,antiinflammatory agent	0.5613311672998444
TNF	SOBLIDOTIN	Not Approved	""	0.06603896085880523
TNF	SPIRONOLACTONE	Approved	antihypertensive agent	0.07016639591248056
TNF	MEROPENEM ANHYDROUS	Approved	""	1.122662334599689
TNF	ETHAMBUTOL HYDROCHLORIDE	Approved	""	0.4209983754748833
TNF	MYCOPHENOLATE MOFETIL	Approved	immunosuppressant	0.07016639591248056
TNF	MASOPROCOL	Approved	prostate cancer,antineoplastic agent	0.02388643265105721
TNF	DERSALAZINE	Not Approved	for treatment of ulcerative colitis,antiinflammatory agent	0.1403327918249611
TNF	AVX-470	Not Approved	for treatment of ulcerative colitis	1.122662334599689
TNF	AME-527	Not Approved	DMARD,antiinflammatory agent	0.5613311672998444
TNF	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.01290416476551366
TNF	ONERCEPT	Not Approved	""	0.5613311672998444
TNF	CYT007-TNFQB	Not Approved	antipsoriatic,antiinflammatory vaccine	0.5613311672998444
TNF	PROPYLTHIOURACIL	Approved	Antithyroid Agents	0.05613311672998444
TNF	TIMOLOL MALEATE	Approved	""	0.3742207781998963
TNF	ABBV-3373	Not Approved	""	0.1871103890999481
TNF	METHIMAZOLE	Approved	Antithyroid Agents	0.05346011117141375
TNF	PF-04236921	Not Approved	for treatment of Chron's disease,antiinflammatory agent	0.2806655836499222
TNF	LACTULOSE	Approved	""	0.2806655836499222
TNF	HALOFUGINONE	Not Approved	antineoplastic agent	0.1871103890999481
TNF	PROTON PUMP INHIBITOR	Not Approved	""	0.2806655836499222
TNF	MITOMYCIN C ANALOG KW-2149	Not Approved	""	1.122662334599689
TNF	ATORVASTATIN CALCIUM TRIHYDRATE	Approved	anticholesterolaemic agent,antihypecholesterolemic agent	0.03061806367090061
TNF	DIGOXIN	Approved	Anti-Arrhythmia Agents; Cardiotonic Agents	0.0165097402147013
TNF	PROCARBAZINE HYDROCHLORIDE	Approved	""	0.5613311672998444
TNF	LAPACHONE	Not Approved	""	0.0431793205615265
TNF	ORTATAXEL	Not Approved	antineoplastic agent	0.1871103890999481
TNF	IMMUNOSTIMULANT	Not Approved	""	1.122662334599689
TNF	RABEPRAZOLE	Approved	Proton pump inhibitor	0.0431793205615265
TNF	RIFAMPIN	Approved	""	0.06014262506784048
TNF	PNEUMOCOCCAL POLYVALENT VACCINE	Not Approved	""	1.122662334599689
TNF	CEFOTAXIME SODIUM	Approved	""	0.1122662334599689
TNF	ETANERCEPT	Approved	DMARD,antiinflammatory agent	0.086358641123053
TNF	AZ9773	Not Approved	""	0.5613311672998444
TNF	TETRANDRINE	Not Approved	""	0.3742207781998963
TNF	REMTOLUMAB	Not Approved	""	0.2806655836499222
TNF	CELASTROL	Not Approved	""	0.1122662334599688
TNF	LENALIDOMIDE	Approved	antineoplastic agent	0.086358641123053
TNF	HUANG LIAN	Not Approved	""	1.122662334599689
TNF	ANESTHETIC AGENT	Not Approved	""	0.1122662334599688
TNF	STAVUDINE	Approved	""	0.086358641123053
TNF	CARBAMAZEPINE	Approved	for treatment of bipolar disorder	0.04582295243264036
TNF	AMPHOTERICIN B LIPOSOMAL	Approved	""	0.0431793205615265
TNF	INSULIN, REGULAR, HUMAN	Approved	for treatment of diabetic foot ulcers,antidiabetic	0.03177346229999119
TNF	BACILLUS CALMETTE-GUERIN ANTIGEN	Not Approved	""	0.09355519454997407
TNF	RUTIN	Approved	""	0.1122662334599688
TNF	VITAMIN B6	Approved	""	0.1871103890999481
TNF	MIDAZOLAM HYDROCHLORIDE	Approved	Anesthesia; Hypnotics and Sedatives,Adjuvants	0.03118506484999135
TNF	GEMCITABINE	Approved	antineoplastic agent	0.01220285146304009
DDC	VITAMIN B6	Approved	""	1.740126618629517
DDC	PROSAVIN	Not Approved	""	3.480253237259035
DDC	BENSERAZIDE	Approved	""	2.983074203364888
DDC	CARBIDOPA ANHYDROUS	Approved	antiparkinson agent	5.220379855888553
DDC	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.3600261969578312
TET2	HYDROCHLOROTHIAZIDE	Approved	antihypertensive agent	0.1891441976771215
TET2	RITUXIMAB	Approved	antineoplastic agent	0.483368505174866
TET2	SELINEXOR	Approved	""	1.740126618629517
TET2	OLAPARIB	Approved	""	0.1891441976771215
TET2	TALAZOPARIB	Approved	""	0.3107368961838425
TET2	DASATINIB ANHYDROUS	Approved	antineoplastic agent	0.1144820143835209
TET2	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.05878806144018641
TET2	AZACITIDINE	Approved	antineoplastic agent	0.2175158273286897
TET2	VEMURAFENIB	Approved	antineoplastic agent	0.2351522457607456
TET2	ELTANEXOR	Not Approved	""	4.350316546573794
TET2	HYDROXYUREA	Approved	Antineoplastic Agents	0.4143158615784565
TET2	QUIZARTINIB	Approved	antineoplastic agent	0.4579280575340836
TNKS	2X-121	Not Approved	""	13.05094963972138
TNKS	PAMIPARIB	Not Approved	""	3.728842754206109
VAV1	PHORBOL 12-MYRISTATE 13-ACETATE	Not Approved	""	2.320168824839357
VAV1	EPOETIN ALFA	Approved	for treatment of anemia,Antianemic Agents,for treatment of stroke,erythropoietic agent	1.023603893311481
VAV1	TETRADECANOYLPHORBOL ACETATE	Not Approved	""	0.756576790708486
CXCL13	RITUXIMAB	Approved	antineoplastic agent	2.900211031049196
BAX	RECOMBINANT INHIBIN	Not Approved	""	0.6960506474518071
BAX	MITOXANTRONE	Approved	antineoplastic agent	0.04745799868989594
BAX	NEUROPROTECTIVE AGENT	Not Approved	""	0.6960506474518071
BAX	CETUXIMAB	Approved	antineoplastic agent	0.0376243593217193
BAX	PRASTERONE	Approved	hormone supplement for increasing bone mineral density in patients with systemic lupus erythematosus	0.07733896082797856
BAX	HYPERBARIC OXYGEN	Not Approved	""	0.2784202589807228
BAX	RECOMBINANT INTERLEUKIN-1	Not Approved	antineoplastic agent	0.07733896082797856
BAX	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.02400174646385541
BAX	INTERFERON ALFA-2B	Approved	for treatment of hepatitis C,Antineoplastic Agents; Immunomodulatory Agents,for treatment of hepatitis B and C,for treatment of hepatitis	0.0994358067788296
BAX	ESTRAMUSTINE	Approved	""	0.1265546631730558
BAX	KERACYANIN	Not Approved	""	0.1988716135576592
BAX	M-CSF	Not Approved	""	0.3480253237259035
BAX	NAFOXIDINE	Not Approved	""	0.6960506474518071
BAX	BICALUTAMIDE	Approved	antineoplastic agent	0.1392101294903614
BAX	&MU;-CONOTOXIN GIIIA	Not Approved	""	0.6960506474518071
BAX	QUERCETIN	Approved	""	0.01762153537852676
BAX	THERAPEUTIC ANDROSTANOLONE	Not Approved	""	0.07326848920545338
BAX	COBALT	Not Approved	""	0.1265546631730558
BAX	MECHLORETHAMINE	Approved	""	0.1898319947595837
BAX	IL-4	Not Approved	""	0.1988716135576592
BAX	ATX-II	Not Approved	""	0.1160084412419678
BAX	ETOPOSIDE	Approved	Antineoplastic Agents	0.02400174646385541
BAX	VITAMIN A	Approved	""	0.05155930721865238
BAX	MELATONIN	Approved	Hypnotics and Sedatives	0.04800349292771083
BAX	TOPOISOMERASE-II-BETA INHIBITOR RACEMIC XK469	Not Approved	""	1.392101294903614
BAX	PHENYLEPHRINE	Approved	for treatment of incontinence	0.08700633093147589
BAX	ACELLULAR DERMAL MATRIX	Not Approved	""	0.3480253237259035
BAX	SODIUM CHLORIDE	Approved	""	0.0497179033894148
BAX	PREDNISOLONE	Approved	corticosteroid,antiinflammatory agent	0.0497179033894148
BAX	ATENOLOL	Approved	Anti-Arrhythmia Agents; Antihypertensive Agents	0.03866948041398928
BAX	BACILLUS CALMETTE-GUERIN ANTIGEN	Not Approved	""	0.1160084412419678
BAX	ANDROSTENEDIONE	Not Approved	""	0.1392101294903614
BAX	FLUOROURACIL	Approved	""	0.0120008732319277
BAX	C5A	Not Approved	""	0.1988716135576592
BAX	DACARBAZINE	Approved	Antineoplastic Agents	0.09280675299357428
BAX	FOSBRETABULIN DISODIUM	Not Approved	""	0.08188831146491848
BAX	DOCETAXEL ANHYDROUS	Approved	antineoplastic agent	0.01677230475787487
BAX	TNP-470	Not Approved	""	0.6960506474518071
BAX	PRAVASTATIN SODIUM	Approved	anticholesterolaemic agent,antihypecholesterolemic agent	0.05155930721865238
BAX	METHOTREXATE	Approved	DMARD	0.01265546631730558
BAX	ARGIPRESSIN	Approved	analgesic,Antidiuretic Agents	0.05354235749629286
BAX	NICOTINE POLACRILEX	Approved	Central Nervous System Stimulants	0.03026307162833944
BAX	PROTEIN PHOSPHATASE INHIBITOR	Not Approved	""	0.2784202589807228
BAX	RECOMBINANT FLT3 LIGAND	Not Approved	""	0.4640337649678714
BAX	ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC	Not Approved	""	0.1160084412419678
BAX	OXALIPLATIN	Approved	""	0.05495136690409004
BAX	SULFORAPHANE	Not Approved	""	0.1988716135576592
BAX	CARVEDILOL	Approved	cardiovascular agent,for treatment of congestive heart failure	0.0803135362444393
BAX	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.009406089830429825
BAX	ROFECOXIB	Approved	NSAID	0.1546779216559571
BAX	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.07326848920545338
BAX	LEUCOVORIN CALCIUM	Approved	adjuvant to chemotherapy	0.03866948041398928
BAX	PHENOBARBITAL	Approved	Anticonvulsants; Hypnotics and Sedatives	0.03663424460272669
BAX	CIPROFLOXACIN	Approved	""	0.1898319947595837
BAX	CISPLATIN	Approved	""	0.009470076836079009
BAX	LAPACHONE	Not Approved	""	0.05354235749629286
BAX	CAMPTOTHECIN	Approved	antineoplastic agent	0.03977432271153183
BAX	ERYTHROMYCIN	Approved	""	0.06052614325667888
BAX	FLUDARABINE	Approved	antineoplastic agent	0.04094415573245924
BAX	BC-III	Not Approved	""	0.1160084412419678
BAX	MEDROXYPROGESTERONE	Approved	""	0.1988716135576592
BAX	TESTOSTERONE	Approved	for treatment of female sexual dysfunction,hormone replacement	0.03569490499752856
BAX	AM-6120	Not Approved	""	0.1392101294903614
BAX	PROCARBAZINE	Approved	""	0.2784202589807228
BAX	CYCLOPHOSPHAMIDE ANHYDROUS	Approved	""	0.01718643573955079
BAX	TRETINOIN	Approved	for treatment of acne	0.01529781642751224
BAX	MEXILETINE	Approved	Anti-Arrhythmia Agents	0.1740126618629517
BAX	AFT-II	Not Approved	""	0.1160084412419678
BAX	NALTREXONE	Approved	for treatment of substance abuse,appetite suppressant,analgesic	0.08188831146491848
BAX	GNE-616	Not Approved	""	0.0994358067788296
BAX	TETRODOTOXIN	Not Approved	""	0.1740126618629517
BAX	VINORELBINE	Approved	antineoplastic agent	0.05354235749629286
BAX	LEVODOPA	Approved	antiparkinson agent	0.03866948041398928
BAX	PREGNANT MARE SERUM GONADOTROPIN	Not Approved	""	0.1265546631730558
BAX	VERAPAMIL	Approved	antihypertensive agent	0.03093558433119142
VIM	ALDESLEUKIN	Approved	antineoplastic agent	0.6960506474518071
VIM	DIMETHYL SULFOXIDE	Approved	""	1.305094963972138
VIM	GELDANAMYCIN	Not Approved	""	1.392101294903614
VIM	PRITUMUMAB	Not Approved	""	10.4407597117771
VIM	GANGLIOSIDE GM2	Not Approved	""	20.88151942355421
NTRK2	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.02449157802434226
NTRK2	CLOZAPINE	Approved	Antipsychotic Agents	0.02196667307337914
NTRK2	DIETHYLDITHIOCARBAMATE	Not Approved	""	0.3043953268739681
NTRK2	CENEGERMIN	Approved	""	0.2663459110147221
NTRK2	LINIFANIB	Not Approved	antineoplastic agent	0.0133172955507361
NTRK2	DORAMAPIMOD	Not Approved	""	0.04632102800256037
NTRK2	AZD-6918	Not Approved	""	0.3551278813529628
NTRK2	ENTRECTINIB	Approved	""	0.1121456467430408
NTRK2	TAMATINIB	Not Approved	""	0.01315288449455417
NTRK2	PD-0166285	Not Approved	""	0.02048814700113247
NTRK2	SORAFENIB	Approved	antineoplastic agent	0.009264205600512073
NTRK2	LITHIUM	Approved	""	0.05073255447899468
NTRK2	REPOTRECTINIB	Approved	""	0.07609883171849204
NTRK2	CRIZOTINIB	Approved	antineoplastic agent	0.04261534576235553
NTRK2	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.01439707627106606
NTRK2	UTATRECTINIB	Not Approved	""	0.2663459110147221
NTRK2	GW-2580	Not Approved	""	0.133172955507361
NTRK2	CHEMBL:CHEMBL546797	Not Approved	""	0.03329323887684026
NTRK2	CORTICOTROPIN	Approved	Diagnostic Agents	0.2663459110147221
NTRK2	CISPLATIN	Approved	""	0.01449501556542705
NTRK2	ZM447439	Not Approved	""	0.05607282337152044
NTRK2	PLX-7486	Not Approved	""	0.2663459110147221
NTRK2	METHADONE HYDROCHLORIDE	Approved	Opioid; Antitussive Agents,Analgesics	0.06266962612111109
NTRK2	AST-487	Not Approved	""	0.02598496692826557
NTRK2	SB202190	Not Approved	""	0.0295939901127469
NTRK2	BMS-754807	Not Approved	antineoplastic agent	0.2367519209019752
NTRK2	PILOCARPINE HYDROCHLORIDE	Approved	for treatment of incontinence	0.1121456467430408
NTRK2	HESPERADIN	Not Approved	""	0.02663459110147221
NTRK2	LESTAURTINIB	Not Approved	antineoplastic agent	0.1775639406764814
NTRK2	TALETRECTINIB	Not Approved	""	0.1065383644058888
NTRK2	CEP-2563 DIHYDROCHLORIDE	Not Approved	""	0.06266962612111109
NTRK2	GAMBOGIC AMIDE	Not Approved	""	0.3551278813529628
NTRK2	LAUROGUADINE	Not Approved	""	0.03804941585924602
NTRK2	PF-562271	Not Approved	""	0.009864663370915634
NTRK2	CENISERTIB	Not Approved	antineoplastic agent	0.009028674949651597
NTRK2	JNJ-7706621	Not Approved	""	0.01937061171016161
NTRK2	ALTIRATINIB	Not Approved	""	0.1065383644058888
NTRK2	ALISERTIB	Not Approved	antineoplastic agent	0.02219549258456017
NTRK2	TOZASERTIB	Not Approved	antineoplastic agent	0.01459429649395737
