entity1,entity2,relation_type
@CHEMICAL_Salicylic_Acid,@CHEMICAL_jasmonic_acid,multitype
@CHEMICAL_Salicylic_Acid,@DISEASE_Infections,multitype
@CHEMICAL_Salicylic_Acid,@CHEMICAL_Starch,multitype
@CHEMICAL_Salicylic_Acid,@CHEMICAL_Potassium,multitype
@CHEMICAL_Salicylic_Acid,@CHEMICAL_Cannabinoids,multitype
@CHEMICAL_Salicylic_Acid,@CHEMICAL_Sugars,multitype
@CHEMICAL_bisphenol_A,@CHEMICAL_peroxymonosulfate,multitype
@CHEMICAL_bisphenol_A,@CHEMICAL_Estradiol,multitype
@CHEMICAL_bisphenol_A,@DISEASE_Endocrine_System_Diseases,multitype
@GENE_CHEK2,@DISEASE_Thyroid_Neoplasms,multitype
@GENE_CTLA4,@GENE_CD80,multitype
@CHEMICAL_Aspartic_Acid,@CHEMICAL_Calcium_Carbonate,multitype
@CHEMICAL_Aspartic_Acid,@CHEMICAL_Alanine,multitype
@CHEMICAL_Aspartic_Acid,@CHEMICAL_Threonine,multitype
@CHEMICAL_Aspartic_Acid,@DISEASE_Metabolic_Syndrome,multitype
@CHEMICAL_Aspartic_Acid,@GENE_GOT1,multitype
@CHEMICAL_Aspartic_Acid,@CHEMICAL_Lignin,multitype
@GENE_SLTM,@GENE_HGF,multitype
@GENE_GLI2,@GENE_SHH,multitype
@CHEMICAL_alpha_hydroxyglutarate,@GENE_IDH1,Association
@CHEMICAL_Melatonin,@GENE_PTGS2,multitype
@CHEMICAL_Melatonin,@CHEMICAL_Steroids,multitype
@CHEMICAL_Melatonin,@CHEMICAL_Glucose,multitype
@CHEMICAL_Melatonin,@CHEMICAL_Abscisic_Acid,multitype
@CHEMICAL_Melatonin,@GENE_CASP3,multitype
@CHEMICAL_Melatonin,@CHEMICAL_Lignin,multitype
@CHEMICAL_Melatonin,@CHEMICAL_Glutamic_Acid,multitype
@CHEMICAL_Melatonin,@CHEMICAL_3_4_Methylenedioxyamphetamine,multitype
@CHEMICAL_Melatonin,@CHEMICAL_1_1_diphenyl_2_picrylhydrazyl,multitype
@CHEMICAL_Melatonin,@GENE_HMOX1,multitype
@CHEMICAL_Melatonin,@GENE_NFE2L2,multitype
@GENE_H3_3B,@DISEASE_Glioma,Association
@CHEMICAL_4_hydroxybenzoic_acid,@CHEMICAL_Glucose,multitype
@CHEMICAL_4_hydroxybenzoic_acid,@CHEMICAL_3_4_dihydroxybenzoate,multitype
@CHEMICAL_4_hydroxybenzoic_acid,@CHEMICAL_Lignin,Association
@CHEMICAL_4_hydroxybenzoic_acid,@CHEMICAL_Nitrates,multitype
@CHEMICAL_Polyamines,@CHEMICAL_Ornithine,multitype
@GENE_RELA,@GENE_TNFSF11,multitype
@GENE_RELA,@GENE_NFKB1,multitype
@GENE_RELA,@CHEMICAL_Lipopolysaccharides,multitype
@GENE_RELA,@CHEMICAL_ferulic_acid,multitype
@CHEMICAL_Inosine,@DISEASE_Hyperuricemia,multitype
@GENE_CRP,@DISEASE_Spondylitis_Ankylosing,multitype
@GENE_CRP,@CHEMICAL_Minocycline,multitype
@GENE_CRP,@CHEMICAL_Uric_Acid,multitype
@GENE_CRP,@DISEASE_Coronary_Artery_Disease,multitype
@GENE_CRP,@DISEASE_Anti_Neutrophil_Cytoplasmic_Antibody_Associated_Vasculitis,multitype
@GENE_CRP,@DISEASE_Axial_Spondyloarthritis,multitype
@GENE_CRP,@CHEMICAL_upadacitinib,multitype
@CHEMICAL_Lead,@CHEMICAL_Carbon_Dioxide,multitype
@CHEMICAL_Lead,@CHEMICAL_Oxalates,multitype
@CHEMICAL_Lead,@CHEMICAL_Glutamic_Acid,multitype
@CHEMICAL_Lead,@CHEMICAL_Malondialdehyde,multitype
@CHEMICAL_Lead,@GENE_CAT,multitype
@CHEMICAL_Lead,@CHEMICAL_tartaric_acid,multitype
@CHEMICAL_Lead,@CHEMICAL_Oxalic_Acid,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Colorectal_Neoplasms,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Liver_Failure,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Atherosclerosis,multitype
@CHEMICAL_Uric_Acid,@CHEMICAL_Glucose,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Mitochondrial_Diseases,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Stroke,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Parkinson_Disease,multitype
@CHEMICAL_Uric_Acid,@CHEMICAL_Polysaccharides,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Kidney_Diseases,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Liver_Diseases,multitype
@CHEMICAL_Uric_Acid,@CHEMICAL_Nicotine,multitype
@CHEMICAL_Uric_Acid,@GENE_UOX,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Arthritis_Gouty,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Aortic_Aneurysm_Familial_Abdominal_1,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Metabolic_Syndrome,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Hyperuricemia,multitype
@CHEMICAL_Uric_Acid,@GENE_NLRP3,multitype
@CHEMICAL_Uric_Acid,@GENE_XDH,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Cardiovascular_Diseases,multitype
@CHEMICAL_Uric_Acid,@GENE_ABCG2,multitype
@CHEMICAL_Uric_Acid,@GENE_SLC2A9,multitype
@CHEMICAL_Uric_Acid,@GENE_SLC22A12,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Renal_Insufficiency_Chronic,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Acute_Kidney_Injury,Association
@CHEMICAL_Uric_Acid,@DISEASE_Cerebral_Hemorrhage,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Depressive_Disorder,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Nephrolithiasis,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Coronary_Artery_Disease,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Myocardial_Infarction,multitype
@CHEMICAL_Uric_Acid,@CHEMICAL_Hypoxanthine,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Heart_Failure,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Cerebral_Infarction,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Fatty_Liver,multitype
@CHEMICAL_Uric_Acid,@CHEMICAL_Acetaminophen,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Acute_Coronary_Syndrome,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Arthritis_Psoriatic,multitype
@CHEMICAL_Uric_Acid,@DISEASE_Anemia,multitype
@CHEMICAL_Dinoprostone,@GENE_PTGS2,multitype
@CHEMICAL_Dinoprostone,@GENE_COX2,multitype
@CHEMICAL_Dinoprostone,@GENE_TNFSF11,multitype
@CHEMICAL_Dinoprostone,@GENE_SLCO2A1,multitype
@CHEMICAL_Dinoprostone,@GENE_TNFRSF11B,multitype
@CHEMICAL_Dinoprostone,@CHEMICAL_Lipopolysaccharides,multitype
@CHEMICAL_Dinoprostone,@GENE_PTGER4,multitype
@CHEMICAL_Cortisone,@GENE_HSD11B1,multitype
@CHEMICAL_Cortisone,@DISEASE_Cushing_Syndrome,multitype
@CHEMICAL_Cortisone,@CHEMICAL_Dexamethasone,multitype
@CHEMICAL_Cortisone,@DISEASE_Adrenal_Insufficiency,multitype
@CHEMICAL_Cortisone,@CHEMICAL_Hydrocortisone,multitype
@CHEMICAL_Cortisone,@GENE_NR3C1,multitype
@CHEMICAL_Urea,@CHEMICAL_Carbon_Dioxide,multitype
@CHEMICAL_Urea,@CHEMICAL_vanillin,multitype
@CHEMICAL_Urea,@CHEMICAL_Zinc,multitype
@CHEMICAL_Fumarates,@CHEMICAL_Tricarboxylic_Acids,multitype
@CHEMICAL_Fumarates,@GENE_AT1G12050,Association
@CHEMICAL_Estradiol,@DISEASE_Breast_Neoplasms,multitype
@CHEMICAL_Estradiol,@DISEASE_Bone_Diseases,multitype
@CHEMICAL_Estradiol,@CHEMICAL_Progesterone,multitype
@CHEMICAL_malic_acid,@CHEMICAL_Cadmium,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Carbon_Dioxide,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Tricarboxylic_Acids,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Glucose,multitype
@CHEMICAL_Citric_Acid,@DISEASE_Mitochondrial_Diseases,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Succinic_Acid,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Glutamic_Acid,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Cadmium,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Vanadium,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Starch,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_manganese_ferrite,multitype
@CHEMICAL_Citric_Acid,@GENE_SLC13A5,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Cobalt,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Ferrosoferric_Oxide,multitype
@CHEMICAL_Citric_Acid,@DISEASE_Nephrolithiasis_Calcium_Oxalate,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Chlorides,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Cellulose,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Polyvinyl_Alcohol,multitype
@CHEMICAL_Citric_Acid,@DISEASE_Acute_Kidney_Injury,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_Antimony,multitype
@CHEMICAL_Citric_Acid,@DISEASE_Fatty_Liver,multitype
@CHEMICAL_Citric_Acid,@CHEMICAL_hemicellulose,multitype
@CHEMICAL_Lignin,@CHEMICAL_Glucose,multitype
@CHEMICAL_Lignin,@CHEMICAL_Nickel,multitype
@CHEMICAL_Lignin,@CHEMICAL_Silver,Association
@CHEMICAL_Lignin,@CHEMICAL_vanillin,multitype
@CHEMICAL_Lignin,@CHEMICAL_caffeic_acid,multitype
@CHEMICAL_Lignin,@CHEMICAL_p_coumaric_acid,multitype
@CHEMICAL_Lignin,@CHEMICAL_graphitic_carbon_nitride,multitype
@CHEMICAL_Lignin,@CHEMICAL_ferulic_acid,multitype
@CHEMICAL_Lignin,@CHEMICAL_Ethylene_Glycol,multitype
@CHEMICAL_Lignin,@CHEMICAL_polyoxometalate,multitype
@CHEMICAL_Lignin,@CHEMICAL_gamma_valerolactone,multitype
@CHEMICAL_Lignin,@CHEMICAL_jasmonic_acid,multitype
@CHEMICAL_Lignin,@CHEMICAL_Vanillic_Acid,Association
@CHEMICAL_Lignin,@CHEMICAL_sulfuric_acid,multitype
@CHEMICAL_Lignin,@CHEMICAL_Ethanol,multitype
@CHEMICAL_Lignin,@CHEMICAL_Ozone,multitype
@CHEMICAL_Inositol,@DISEASE_Cognition_Disorders,multitype
@CHEMICAL_Inositol,@DISEASE_Diabetes_Mellitus_Type_2,multitype
@CHEMICAL_Inositol,@DISEASE_Alzheimer_Disease,multitype
@CHEMICAL_Inositol,@DISEASE_Cognitive_Dysfunction,multitype
@GENE_CGAS,@GENE_STING1,multitype
@CHEMICAL_Zinc,@CHEMICAL_Carbon_Dioxide,multitype
@CHEMICAL_Zinc,@DISEASE_Inflammatory_Bowel_Diseases,multitype
@CHEMICAL_Zinc,@CHEMICAL_Phytic_Acid,multitype
@CHEMICAL_Zinc,@DISEASE_Diabetic_Nephropathies,multitype
@CHEMICAL_Zinc,@DISEASE_Zinc_Deficiency_Neonatal_due_to_Low_Breast_Milk_Zinc,multitype
@CHEMICAL_Zinc,@CHEMICAL_Thiobarbituric_Acid_Reactive_Substances,multitype
@CHEMICAL_Zinc,@CHEMICAL_Sulfur,multitype
@CHEMICAL_Zinc,@CHEMICAL_Metformin,multitype
@CHEMICAL_Selenium,@CHEMICAL_Sugars,multitype
@CHEMICAL_Selenium,@DISEASE_Fatty_Liver,multitype
@DISEASE_Cognition_Disorders,@CHEMICAL_Scopolamine,Positive_Correlation
@DISEASE_Cognition_Disorders,@CHEMICAL_Ethanol,multitype
@DISEASE_Cognition_Disorders,@CHEMICAL_Glutamic_Acid,multitype
@DISEASE_Cognition_Disorders,@GENE_MAPT,multitype
@DISEASE_Cognition_Disorders,@CHEMICAL_Minocycline,multitype
@DISEASE_Cognition_Disorders,@GENE_APP,multitype
@DISEASE_Cognition_Disorders,@CHEMICAL_gamma_Aminobutyric_Acid,multitype
@CHEMICAL_Scopolamine,@DISEASE_Memory_Disorders,multitype
@CHEMICAL_Ethanol,@DISEASE_Liver_Failure,multitype
@CHEMICAL_Ethanol,@CHEMICAL_vanillin,multitype
@CHEMICAL_Ethanol,@CHEMICAL_Polysaccharides,multitype
@CHEMICAL_Ethanol,@GENE_ACHE,multitype
@CHEMICAL_Ethanol,@CHEMICAL_phenolic_acid,multitype
@CHEMICAL_Ethanol,@CHEMICAL_Acetic_Acid,multitype
@CHEMICAL_Ethanol,@CHEMICAL_Furaldehyde,multitype
@CHEMICAL_Ethanol,@CHEMICAL_Serotonin,multitype
@CHEMICAL_Ethanol,@CHEMICAL_Vanilmandelic_Acid,multitype
@CHEMICAL_Ethanol,@CHEMICAL_1_1_diphenyl_2_picrylhydrazyl,multitype
@CHEMICAL_Ethanol,@GENE_CYP2E1,multitype
@CHEMICAL_Ethanol,@GENE_TH,multitype
@CHEMICAL_Ethanol,@DISEASE_Depressive_Disorder,multitype
@CHEMICAL_Ethanol,@CHEMICAL_Cellulose,multitype
@CHEMICAL_Ethanol,@GENE_TLR4,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Proline,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Glutamine,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Mental_Disorders,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Dopamine,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Carbohydrates,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Mitochondrial_Diseases,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Stroke,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Alzheimer_Disease,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Parkinson_Disease,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Breast_Neoplasms,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Amino_Acids,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Chronic_Pain,multitype
@CHEMICAL_Glutamic_Acid,@GENE_SLC7A11,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Brain_Injuries_Traumatic,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Adenosine,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Amyotrophic_Lateral_Sclerosis,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Cocaine,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Dizocilpine_Maleate,multitype
@CHEMICAL_Glutamic_Acid,@GENE_GLUL,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Brain_Ischemia,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Amphetamine,multitype
@CHEMICAL_Glutamic_Acid,@DISEASE_Hepatic_Encephalopathy,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Valproic_Acid,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Ammonium_Compounds,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_NAD,multitype
@CHEMICAL_Glutamic_Acid,@CHEMICAL_Ammonia,multitype
@CHEMICAL_Glutamic_Acid,@GENE_ADORA2A,multitype
@GENE_MAPT,@DISEASE_Alzheimer_Disease,multitype
@GENE_MAPT,@GENE_LGMN,multitype
@GENE_MAPT,@GENE_APP,multitype
@GENE_MAPT,@GENE_APOE,multitype
@CHEMICAL_Minocycline,@DISEASE_Mental_Disorders,multitype
@CHEMICAL_Minocycline,@GENE_CASP3,multitype
@CHEMICAL_Minocycline,@DISEASE_Neurotoxicity_Syndromes,multitype
@CHEMICAL_Minocycline,@DISEASE_Sepsis,multitype
@CHEMICAL_Minocycline,@DISEASE_Arthralgia,multitype
@CHEMICAL_Minocycline,@GENE_IL10,multitype
@CHEMICAL_Minocycline,@DISEASE_Hyperpigmentation,multitype
@CHEMICAL_Minocycline,@CHEMICAL_Ceftriaxone,multitype
@CHEMICAL_Minocycline,@CHEMICAL_Rifampin,multitype
@CHEMICAL_Minocycline,@DISEASE_Depressive_Disorder,multitype
@CHEMICAL_Minocycline,@DISEASE_Hyperalgesia,multitype
@CHEMICAL_Minocycline,@DISEASE_Skin_Diseases,multitype
@CHEMICAL_Minocycline,@DISEASE_Infections,multitype
@CHEMICAL_Minocycline,@CHEMICAL_Lipopolysaccharides,Negative_Correlation
@CHEMICAL_Minocycline,@DISEASE_Rosacea,Negative_Correlation
@CHEMICAL_Minocycline,@DISEASE_Exanthema,multitype
@CHEMICAL_Minocycline,@GENE_NFKB1,multitype
@CHEMICAL_Minocycline,@GENE_KEAP1,multitype
@CHEMICAL_Minocycline,@GENE_NFE2L2,multitype
@CHEMICAL_Minocycline,@DISEASE_Drug_Hypersensitivity,multitype
@CHEMICAL_Minocycline,@CHEMICAL_Levofloxacin,multitype
@CHEMICAL_Minocycline,@DISEASE_Hemorrhage,multitype
@CHEMICAL_Minocycline,@GENE_TLR4,multitype
@CHEMICAL_Minocycline,@DISEASE_Retinitis,multitype
@CHEMICAL_Minocycline,@DISEASE_Osteomyelitis,multitype
@CHEMICAL_Minocycline,@CHEMICAL_Carbapenems,multitype
@CHEMICAL_Minocycline,@GENE_MMP2,multitype
@CHEMICAL_Minocycline,@CHEMICAL_Imipenem,multitype
@CHEMICAL_Minocycline,@DISEASE_Thyroid_Nodule,multitype
@CHEMICAL_Minocycline,@DISEASE_Brain_Ischemia,multitype
@CHEMICAL_Minocycline,@DISEASE_Scrub_Typhus,Negative_Correlation
@CHEMICAL_Minocycline,@DISEASE_Macular_Degeneration,multitype
@CHEMICAL_Minocycline,@GENE_CASP1,multitype
@CHEMICAL_Minocycline,@DISEASE_Malformations_of_Cortical_Development_Group_I,Negative_Correlation
@GENE_APP,@DISEASE_Alzheimer_Disease,multitype
@GENE_APP,@DISEASE_Cognitive_Dysfunction,multitype
@GENE_APP,@GENE_BACE1,multitype
@GENE_APP,@GENE_PSEN1,multitype
@GENE_APP,@CHEMICAL_ALZ_801,Negative_Correlation
@CHEMICAL_gamma_Aminobutyric_Acid,@DISEASE_Alzheimer_Disease,multitype
@CHEMICAL_gamma_Aminobutyric_Acid,@DISEASE_Depressive_Disorder,multitype
@DISEASE_Cataract,@GENE_CRYGD,multitype
@DISEASE_Cataract,@GENE_CRYAB,multitype
@DISEASE_Cataract,@GENE_GJA8,multitype
@DISEASE_Cataract,@GENE_CCL2,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Oxalates,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_graphene_oxide,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Bicarbonates,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Carbonates,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_biochar,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Methane,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Bismuth,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Amines,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Calcium_Carbonate,multitype
@CHEMICAL_Carbon_Dioxide,@DISEASE_Hypoxia,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Amino_Acids,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Cobalt,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Carbon_Monoxide,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Nickel,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_ceric_oxide,multitype
@CHEMICAL_Carbon_Dioxide,@CHEMICAL_Polyphenols,multitype
@CHEMICAL_Oxalates,@DISEASE_Hyperoxaluria,multitype
@CHEMICAL_Oxalates,@DISEASE_Kidney_Calculi,multitype
@CHEMICAL_Oxalates,@DISEASE_Hyperoxaluria_Primary,multitype
@CHEMICAL_graphene_oxide,@CHEMICAL_rhodamine_B,multitype
@CHEMICAL_Bicarbonates,@CHEMICAL_Carbonates,multitype
@CHEMICAL_biochar,@CHEMICAL_Azo_Compounds,multitype
@CHEMICAL_biochar,@CHEMICAL_Nitrates,multitype
@CHEMICAL_biochar,@CHEMICAL_Cadmium,multitype
@CHEMICAL_biochar,@CHEMICAL_Magnesium,multitype
@CHEMICAL_biochar,@CHEMICAL_Methane,multitype
@CHEMICAL_biochar,@CHEMICAL_Potassium,multitype
@CHEMICAL_biochar,@CHEMICAL_Betaine,multitype
@CHEMICAL_Methane,@CHEMICAL_Nickel,multitype
@CHEMICAL_Methane,@CHEMICAL_Cobalt,multitype
@DISEASE_Hypoxia,@CHEMICAL_Superoxides,multitype
@DISEASE_Hypoxia,@CHEMICAL_Glucose,multitype
@DISEASE_Hypoxia,@CHEMICAL_cobaltous_chloride,multitype
@DISEASE_Hypoxia,@GENE_PLOD2,multitype
@DISEASE_Hypoxia,@CHEMICAL_Nobelium,multitype
@CHEMICAL_Amino_Acids,@CHEMICAL_Ketoglutaric_Acids,multitype
@CHEMICAL_Amino_Acids,@DISEASE_Neoplasm_Metastasis,multitype
@CHEMICAL_Amino_Acids,@CHEMICAL_Carbon_13,multitype
@CHEMICAL_Cobalt,@CHEMICAL_Nickel,multitype
@CHEMICAL_Cobalt,@CHEMICAL_rhodamine_B,multitype
@CHEMICAL_Cobalt,@CHEMICAL_Sulfur,multitype
@CHEMICAL_Cobalt,@CHEMICAL_Oxalic_Acid,multitype
@CHEMICAL_Carbon_Monoxide,@CHEMICAL_Nickel,multitype
@CHEMICAL_Carbon_Monoxide,@CHEMICAL_formic_acid,multitype
@CHEMICAL_Carbon_Monoxide,@CHEMICAL_Tin,multitype
@CHEMICAL_Carbon_Monoxide,@CHEMICAL_hydroxide_ion,multitype
@CHEMICAL_Polyphenols,@CHEMICAL_Cholesterol,multitype
@CHEMICAL_Polyphenols,@CHEMICAL_Fatty_Acids_Volatile,multitype
@CHEMICAL_Polyphenols,@CHEMICAL_Starch,multitype
@GENE_PAH,@CHEMICAL_sapropterin,multitype
@GENE_PAH,@DISEASE_Phenylketonurias,multitype
@GENE_PAH,@DISEASE_Metabolism_Inborn_Errors,multitype
@GENE_CAT,@CHEMICAL_Alanine,multitype
@GENE_CAT,@DISEASE_Obesity,multitype
@GENE_CAT,@CHEMICAL_kaempferol,multitype
@GENE_CAT,@CHEMICAL_Vitamin_D,multitype
@GENE_CAT,@CHEMICAL_Gallic_Acid,multitype
@GENE_CAT,@GENE_SOD2,multitype
@GENE_CAT,@CHEMICAL_Cyclosporine,multitype
@GENE_CAT,@CHEMICAL_Cadmium,multitype
@GENE_CAT,@CHEMICAL_Tartrazine,multitype
@GENE_CAT,@CHEMICAL_Rotenone,multitype
@GENE_CAT,@GENE_NFE2L2,multitype
@GENE_CAT,@CHEMICAL_Thiobarbituric_Acid_Reactive_Substances,multitype
@GENE_CAT,@CHEMICAL_Acetaminophen,multitype
@GENE_CAT,@CHEMICAL_Malondialdehyde,multitype
@GENE_CAT,@DISEASE_Reperfusion_Injury,multitype
@GENE_CAT,@CHEMICAL_Hesperidin,multitype
@GENE_CAT,@CHEMICAL_sodium_arsenite,multitype
@GENE_CAT,@CHEMICAL_Silymarin,multitype
@GENE_CAT,@CHEMICAL_Catechin,multitype
@DISEASE_Fibrosis,@CHEMICAL_Bleomycin,multitype
@DISEASE_Fibrosis,@CHEMICAL_Silicon_Dioxide,multitype
@DISEASE_Fibrosis,@GENE_TUG1,multitype
@DISEASE_Depressive_Disorder,@CHEMICAL_Dopamine,multitype
@DISEASE_Depressive_Disorder,@CHEMICAL_Norepinephrine,multitype
@DISEASE_Depressive_Disorder,@CHEMICAL_Serotonin,multitype
@DISEASE_Depressive_Disorder,@CHEMICAL_Lipopolysaccharides,multitype
@DISEASE_Depressive_Disorder,@CHEMICAL_Normetanephrine,multitype
@CHEMICAL_Threonine,@DISEASE_Diabetes_Mellitus_Type_2,multitype
@GENE_TYR,@DISEASE_Albinism,multitype
@GENE_TYR,@DISEASE_Vitiligo,multitype
@GENE_TYR,@GENE_MITF,multitype
@GENE_TYR,@DISEASE_Albinism_Oculocutaneous,multitype
@GENE_TYR,@CHEMICAL_Phenol,multitype
@GENE_TYR,@DISEASE_Skin_Diseases,Association
@GENE_TYR,@DISEASE_Melanosis,multitype
@GENE_TYR,@DISEASE_Oculocutaneous_albinism_type_1,multitype
@DISEASE_Liver_Diseases,@GENE_INS,multitype
@DISEASE_Liver_Diseases,@GENE_PNPLA3,multitype
@DISEASE_Liver_Diseases,@CHEMICAL_Fatty_Acids_Volatile,multitype
@DISEASE_Liver_Diseases,@CHEMICAL_Nalbuphine,multitype
@DISEASE_Cardiovascular_Diseases,@CHEMICAL_Triglycerides,multitype
@DISEASE_Cardiovascular_Diseases,@CHEMICAL_Cholesterol,multitype
@DISEASE_Cardiovascular_Diseases,@CHEMICAL_Homocysteine,multitype
@CHEMICAL_Norepinephrine,@DISEASE_Hypotension,multitype
@CHEMICAL_Norepinephrine,@DISEASE_Hypertension,multitype
@CHEMICAL_Norepinephrine,@DISEASE_Essential_Hypertension,multitype
@CHEMICAL_Norepinephrine,@CHEMICAL_Normetanephrine,multitype
@CHEMICAL_Norepinephrine,@DISEASE_Dysautonomia_Familial,multitype
@CHEMICAL_Lysine,@CHEMICAL_Proline,multitype
@CHEMICAL_Lysine,@CHEMICAL_Hydroxylysine,multitype
@CHEMICAL_Lysine,@GENE_LOX,Association
@CHEMICAL_Lysine,@CHEMICAL_glutaric_acid,multitype
@CHEMICAL_Lysine,@CHEMICAL_Glutaral,multitype
@CHEMICAL_Lysine,@CHEMICAL_Minoxidil,multitype
@CHEMICAL_Homovanillic_Acid,@CHEMICAL_Dopamine,multitype
@CHEMICAL_Homovanillic_Acid,@CHEMICAL_Levodopa,multitype
@CHEMICAL_Homovanillic_Acid,@CHEMICAL_1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,multitype
@DISEASE_Obesity,@CHEMICAL_Leucine,multitype
@DISEASE_Obesity,@CHEMICAL_Steroids,multitype
@DISEASE_Obesity,@CHEMICAL_Glucose,multitype
@DISEASE_Obesity,@CHEMICAL_Triglycerides,multitype
@DISEASE_Obesity,@CHEMICAL_Vitamin_D,multitype
@DISEASE_Obesity,@GENE_ADIPOQ,multitype
@DISEASE_Obesity,@CHEMICAL_Isoleucine,multitype
@DISEASE_Obesity,@GENE_MC4R,multitype
@DISEASE_Obesity,@CHEMICAL_Fatty_Acids_Nonesterified,multitype
@DISEASE_Obesity,@CHEMICAL_Acetic_Acid,multitype
@DISEASE_Obesity,@CHEMICAL_Butyric_Acid,multitype
@CHEMICAL_Dopamine,@DISEASE_Schizophrenia,multitype
@CHEMICAL_Dopamine,@CHEMICAL_Morphine,multitype
@CHEMICAL_Dopamine,@DISEASE_Parkinson_Disease_Secondary,multitype
@CHEMICAL_Dopamine,@CHEMICAL_Methamphetamine,multitype
@CHEMICAL_Dopamine,@GENE_TH,Association
@CHEMICAL_Dopamine,@DISEASE_Neuroblastoma,multitype
@CHEMICAL_Dopamine,@CHEMICAL_Levodopa,multitype
@CHEMICAL_Dopamine,@DISEASE_Hyperkinesis,multitype
