gene	drug	regulatory approval	indication	interaction score
APEX1	ELLAGIC ACID	Not Approved	""	0.009368951643733943
APEX1	PERSEITOL	Not Approved	""	0.2623306460245504
APEX1	CHEMBL:CHEMBL234338	Not Approved	""	0.01249193552497859
APEX1	MYRICETIN	Not Approved	""	0.006558266150613759
APEX1	HAEMATOXYLIN	Not Approved	""	0.01008964023171347
APEX1	LY367385	Not Approved	""	0.1311653230122752
APEX1	IRIGENOL	Not Approved	""	0.01873790328746788
APEX1	MITOXANTRONE HYDROCHLORIDE	Approved	""	0.0081978326882672
APEX1	BENZOQUINONE	Not Approved	""	0.05246612920491007
APEX1	EMODIC ACID	Not Approved	""	0.02186088716871253
APEX1	CARMINIC ACID	Approved	""	0.0327913307530688
APEX1	DIENOCHLOR	Not Approved	""	0.0655826615061376
APEX1	ENALAPRIL MALEATE	Approved	antihypertensive agent	0.01380687610655528
APEX1	IMIPRAMINE HYDROCHLORIDE	Approved	Tricyclic,Antidepressive Agents	0.01311653230122751
APEX1	TYRPHOSTIN 47	Not Approved	""	0.0163956653765344
APEX1	CHEMBL:CHEMBL484640	Not Approved	""	0.0238482405476864
APEX1	PROTOPORPHYRIN DISODIUM	Not Approved	""	0.0238482405476864
APEX1	ROBINETIN	Not Approved	""	0.08744354867485013
APEX1	CHEMBL:CHEMBL124006	Not Approved	""	0.02186088716871253
APEX1	PYRONIN Y	Not Approved	""	0.01457392477914168
APEX1	SURAMIN	Not Approved	""	0.006903438053277641
APEX1	FISETIN	Not Approved	""	0.02017928046342695
APEX1	HARMINE	Not Approved	""	0.01748870973497002
APEX1	SULOCHRIN	Not Approved	""	0.08744354867485013
APEX1	ISOSPAGLUMIC ACID	Not Approved	""	0.1311653230122752
APEX1	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.001772504365030746
APEX1	THIOLACTOMYCIN	Not Approved	""	0.05246612920491007
APEX1	QUERCETIN DIHYDRATE	Not Approved	""	0.03747580657493577
APEX1	NOREPINEPHRINE	Approved	Antihypotensive Agents; Vasoconstrictor Agents	0.0081978326882672
APEX1	EICOSATETRANOIC ACID	Not Approved	""	0.0238482405476864
APEX1	OXYTETRACYCLINE ANHYDROUS	Approved	""	0.01311653230122751
APEX1	IRETOL	Not Approved	""	0.08744354867485013
APEX1	OLTIPRAZ	Not Approved	""	0.1311653230122752
APEX1	LUTEOLIN	Not Approved	""	0.0081978326882672
APEX1	SENNOSIDE B	Not Approved	""	0.0163956653765344
APEX1	CHEMBL:CHEMBL1255647	Not Approved	""	0.08744354867485013
APEX1	CHLORANIL	Not Approved	""	0.01748870973497002
APEX1	INDIGO	Approved	""	0.05246612920491007
APEX1	IRIGINOL HEXAACEATATE	Not Approved	""	0.0238482405476864
APEX1	7-NITROINDAZOLE	Not Approved	""	0.03747580657493577
APEX1	VITEXIN	Not Approved	""	0.2623306460245504
APEX1	SLAZINIC ACID	Not Approved	""	0.01249193552497859
APEX1	BAICALEIN	Not Approved	""	0.01049322584098201
APEX1	LEVODOPA	Approved	antiparkinson agent	0.007286962389570844
APEX1	CHEMBL:CHEMBL81782	Not Approved	""	0.02186088716871253
APEX1	R-138727	Not Approved	""	0.2623306460245504
APEX1	TANNIC ACID	Approved	""	0.02623306460245503
APEX1	DACTINOMYCIN	Approved	""	0.007495161314987155
APEX1	CHEMBL:CHEMBL67535	Not Approved	""	0.01380687610655528
APEX1	N-ARACHIDONOYLGLYCINE	Not Approved	""	0.01380687610655528
APEX1	EMODIN	Not Approved	""	0.01008964023171347
APEX1	ARL66096	Not Approved	""	0.2623306460245504
APEX1	2MESAMP	Not Approved	""	0.1311653230122752
APEX1	PYROGALLOL RED	Not Approved	""	0.01049322584098201
APEX1	3-METHOXYCATECHOL	Not Approved	""	0.02623306460245503
APEX1	CARBOPLATIN	Approved	""	0.003050356349122679
